gold_id,item_text,item_type,pipeline_domain,pipeline_similarity,notes,true_domain_id,labeler_id
gfs_6ed2640df741,fostering,skill,Leadership & People Development,0.256,,none,labeler1
gfs_1def7d5ab421,apply traditional machine learning algorithms,skill,AI & Machine Learning,0.444,,WEF01,labeler1
gfs_60e2c88804bb,bring stories to life through creative concepts,skill,Advanced Communication & Collaboration,0.255,,MCK02,labeler1
gfs_f4159ba6c74a,build API endpoints,skill,Software Development & Engineering,0.271,,ONET01,labeler1
gfs_eb010b0c36e7,create compelling motion graphics,skill,Game Development & Interactive Media,0.285,,ONET04,labeler1
gfs_0adeca380fd2,implementing Business Applications,skill,Business Analysis & Requirements Engineering,0.416,,ESCO02,labeler1
gfs_be8cd45312c9,develop digital platforms,skill,Digital Platforms & E-commerce,0.536,,WEF05,labeler1
gfs_770c6c5b2ec8,define factory tests,skill,Quality Assurance & Testing,0.263,,ONET05,labeler1
gfs_eaf5ee94897b,blockchain systems.,skill,Blockchain & Distributed Systems,0.677,,ONET06,labeler1
gfs_54cea78b3174,maintain microservices,skill,Cloud Computing & Infrastructure,0.294,,WEF04,labeler1
gfs_3188baada801,develop APIs,skill,Software Development & Engineering,0.372,,ONET01,labeler1
gfs_7cdab475feb7,work on data engineering projects,skill,Big Data & Analytics,0.488,,WEF02,labeler1
gfs_8957d91c5d2b,enumerate information appropriately,skill,Routine Data Entry & Clerical,0.2,,DEC01,labeler1
gfs_5b135501d6cb,develop hardware architectures for novel sensor test setups.,skill,Quality Assurance & Testing,0.273,,ONET05,labeler1
gfs_5debbb44cc7d,maintain standards in,skill,Routine Maintenance Coding,0.261,,none,labeler1
gfs_e786fa97f20b,partner closely,skill,Advanced Communication & Collaboration,0.223,,MCK02,labeler1
gfs_b299ff707015,implement software applications,skill,Blockchain & Distributed Systems,0.355,,ONET01,labeler1
gfs_2f9ce1998ed2,manage and coordinate project events,skill,Project Management & Agile Methodologies,0.339,,ESCO01,labeler1
gfs_de5d637b77a1,deliver scalable software solutions,skill,Routine Maintenance Coding,0.294,,ONET01,labeler1
gfs_79833b803674,work on sustainable projects,skill,Environmental & Sustainability Technology,0.435,,WEF06,labeler1
gfs_4cdcae98bf55,drive sustainable transformation,skill,Environmental & Sustainability Technology,0.415,,WEF06,labeler1
gfs_64ed033ba4fe,drive standards within the team,skill,Advanced Communication & Collaboration,0.279,,MCK02,labeler1
gfs_83a7af21c5e8,implement safety protocols,skill,Database & Systems Administration,0.234,,unclear,labeler1
gfs_bb0627d00e7f,provide technical support,skill,Advanced Communication & Collaboration,0.36,,MCK02,labeler1
gfs_7e8f77e47c82,query databases,skill,Database & Systems Administration,0.496,,ONET02,labeler1
gfs_9ea539fb8b83,define and implement SLOs,skill,Blockchain & Distributed Systems,0.319,,ESCO01,labeler1
gfs_3c7ba2f5897e,business requirements for analytical solutions.,skill,Business Analysis & Requirements Engineering,0.533,,ESCO02,labeler1
gfs_39dd0fbf1225,programs and,skill,Database & Systems Administration,0.377,,none,labeler1
gfs_f9c95bd33fe8,develop SCADA,skill,Advanced Communication & Collaboration,0.327,,ONET01,labeler1
gfs_bf84fa4dd48e,Analyse trends,skill,Business Analysis & Requirements Engineering,0.297,,ESCO02,labeler1
gfs_f8d119690993,lead threat hunting exercises,skill,Leadership & People Development,0.249,,MCK03,labeler1
gfs_ceaa575c0bf7,tasks independently,skill,Human-AI Collaboration,0.225,,none,labeler1
gfs_09f7bd92f03c,implement process automation,skill,Process Automation & RPA,0.474,,MCK01,labeler1
gfs_9ef2732720eb,understand external factors affecting trends,skill,Environmental & Sustainability Technology,0.243,,ESCO02,labeler1
gfs_8a1b457c8198,design analytics capabilities,skill,Business Analysis & Requirements Engineering,0.411,,WEF02,labeler1
gfs_0d4cefb92998,innovative thinking,skill,Critical Thinking & Problem Solving,0.385,,MCK04,labeler1
gfs_2fdab77d66cd,work on multiple projects,skill,Project Management & Agile Methodologies,0.347,,ESCO01,labeler1
gfs_3f48731b53b0,building predictive models,skill,AI & Machine Learning,0.299,,WEF01,labeler1
gfs_c375492f4500,balance personal and work commitments,skill,Resilience & Adaptability,0.355,,MCK05,labeler1
gfs_840059beb56b,distributors.,skill,Digital Platforms & E-commerce,0.286,,none,labeler1
gfs_cff549712110,flow,skill,AI & Machine Learning,0.186,,none,labeler1
gfs_8339fc6c68b6,present packaging concepts,skill,Legacy Web Development,0.245,,MCK02,labeler1
gfs_9f614f316f6f,"collaborate with leading AI technology companies, academics, industry experts, and skilled engineers",skill,Human-AI Collaboration,0.63,,WEF07,labeler1
gfs_d1c8cbab2eb8,partner with UX designers,skill,UX/UI & Digital Design,0.446,,ONET03,labeler1
gfs_9b9bb23110c8,analyze large datasets,skill,Big Data & Analytics,0.369,,WEF02,labeler1
gfs_fa2de1c56893,work with project management,skill,Project Management & Agile Methodologies,0.511,,ESCO01,labeler1
