gold_id,labeler_id,is_correct,notes
gk_8a18d6891290,alice,no,
gk_5d5ca39adc30,alice,yes,
gk_20283056603e,alice,yes,
gk_3cb15864d94c,alice,yes,
gk_060b1c310810,alice,yes,
gk_a07273728fbf,alice,yes,
gk_7783939f22e2,alice,yes,
gk_2909b880b98c,alice,yes,
gk_05f90f8feda2,alice,yes,
gk_6ead160e021f,alice,no,
gk_7822e8a27618,alice,no,
gk_10cb1baae8ac,alice,yes,
gk_8169b7f52251,alice,yes,
gk_1b268d729396,alice,yes,
gk_cb425170aaa5,alice,no,
gk_a44a9b60c227,alice,yes,
gk_7bb89083a1bb,alice,yes,
gk_95e527af1812,alice,yes,
gk_a141f6b7c7b2,alice,yes,
gk_b0a12ad7dd0c,alice,yes,
gk_d7ddb24e36d6,alice,yes,
gk_413b69217960,alice,no,
gk_b8a34904cb23,alice,yes,
gk_3f98ba2dafcd,alice,yes,
gk_e7761dd38a08,alice,no,
gk_b473a59e1bc1,alice,no,
gk_da31b82622b1,alice,yes,
gk_6b5b4593f4b1,alice,yes,
gk_f529adac001f,alice,yes,
gk_e53f6ce6840c,alice,no,
gk_4280649e7f34,alice,yes,
gk_4bab8e664e72,alice,no,
gk_156b4fc0ca57,alice,yes,
gk_29725298848a,alice,yes,
gk_6c67b8b31d6b,alice,yes,
gk_9bf83c604693,alice,yes,
gk_66bca69beb68,alice,yes,
gk_8bf05800d37e,alice,yes,
gk_d221e57fd44f,alice,yes,
gk_ae209572e7b3,alice,yes,
gk_31d88b05c24f,alice,yes,
gk_5a6b5d223d60,alice,yes,
gk_f3eef224bce4,alice,yes,
gk_95179dcee6bc,alice,no,
gk_528dad18792e,alice,yes,
gk_5027ff25975e,alice,yes,
gk_da4147d886c3,alice,no,
gk_f508d09996cb,alice,no,
gk_69ae0b0dfe50,alice,no,
gk_d0456b61c75e,alice,yes,
gk_22d09f29c81f,alice,yes,
gk_764cd2bcb570,alice,no,
gk_2e22479d67ff,alice,yes,
gk_a3e051cb0d7f,alice,yes,
gk_85c28d576a02,alice,no,
gk_a2c6f6f51a7a,alice,yes,
