competency_id,reviewer_id,human_quality,human_relevant,human_notes,human_skill_focus
C9_b1,alice,5.0,yes,,
C2_b1,alice,,yes,,Both
C9_b2,alice,5.0,yes,,
C2_b2,alice,5.0,yes,,
C9_b3,alice,5.0,yes,,
C2_b3,alice,5.0,yes,,
C8_b4,alice,5.0,yes,,
C2_b4,alice,5.0,yes,,
C9_b40,alice,5.0,partial,,
C2_b40,alice,4.0,partial,,
C2_b44,alice,5.0,yes,,
C9_b1,school2@domain.com,5.0,yes,,
C8_b329,default,5.0,yes,,
C9_b248,default,5.0,yes,,
C9_b611,default,5.0,yes,,
C9_b146,default,5.0,yes,,
C9_b516,default,5.0,yes,,
C9_b406,default,5.0,yes,,
C9_b166,default,5.0,yes,,
C9_b78,default,5.0,yes,,
C9_b568,default,5.0,yes,,
C9_b164,default,5.0,,,
C9_b272,default,5.0,yes,,
C9_b32,default,5.0,yes,,
C9_b56,default,4.0,partial,,
C9_b91,default,5.0,yes,,
C9_b617,default,5.0,yes,,
C9_b77,default,5.0,yes,,
C9_b3,default,5.0,yes,,
C9_b257,default,5.0,yes,,
C9_b312,default,5.0,yes,,
C9_b334,default,5.0,yes,,
C9_b132,default,5.0,yes,,
C9_b292,default,5.0,yes,,
C9_b50,default,5.0,yes,,
C9_b680,default,5.0,yes,,
C9_b494,default,5.0,yes,,
C11_b111,default,5.0,yes,,
C9_b368,default,5.0,yes,,
C9_b279,default,5.0,yes,,
C9_b679,default,,partial,,
C9_b262,default,5.0,yes,,
C9_b464,default,5.0,yes,,
C9_b448,default,5.0,yes,,
C9_b245,default,5.0,yes,,
C9_b627,default,5.0,yes,,
C9_b133,default,5.0,yes,,
C9_b335,default,5.0,yes,,
C9_b451,default,5.0,yes,,
C9_b669,default,5.0,yes,,
C9_b156,default,5.0,yes,,
C9_b322,default,5.0,yes,,
C9_b361,default,5.0,yes,,
C9_b40,default,5.0,yes,,
C10_b87,default,5.0,yes,,
C9_b317,default,5.0,yes,,
C9_b527,default,5.0,yes,,
C9_b213,default,5.0,yes,,
C9_b265,default,5.0,partial,,
C8_b205,default,5.0,yes,,
C9_b79,default,5.0,yes,,
C8_b354,default,5.0,yes,,
C9_b211,default,5.0,yes,,
C9_b290,default,5.0,yes,,
C9_b11,default,5.0,yes,,
C9_b177,default,5.0,yes,,
C9_b652,default,5.0,yes,,
C9_b593,default,5.0,partial,,
C9_b136,default,5.0,yes,,
C9_b647,default,5.0,yes,,
C9_b591,default,5.0,yes,,
C10_b31,default,5.0,yes,,
C9_b630,default,5.0,yes,,
C9_b577,default,5.0,yes,,
C9_b197,default,5.0,yes,,
C9_b42,default,5.0,yes,,
C9_b249,default,5.0,yes,,
C9_b285,default,5.0,yes,,
C9_b57,default,5.0,yes,,
C1_b429,default,5.0,yes,,
C9_b578,default,5.0,yes,,
C9_b543,default,5.0,partial,,
C9_b587,default,5.0,,,
C9_b25,default,5.0,yes,,
C9_b83,default,5.0,yes,,
C9_b293,default,5.0,yes,,
C9_b159,default,5.0,yes,,
C9_b525,default,5.0,yes,,
C9_b663,default,5.0,yes,,
C9_b71,default,5.0,yes,,
C9_b624,default,5.0,yes,,
C9_b260,default,5.0,yes,,
C8_b175,default,5.0,partial,,
C9_b61,default,5.0,yes,,
C1_b1,school2@domain.com,5.0,yes,,
C2_b1,school2@domain.com,5.0,yes,,
C3_b1,school2@domain.com,5.0,yes,,
C4_b1,school2@domain.com,5.0,yes,,
C5_b1,school2@domain.com,5.0,yes,,
C1_b2,school2@domain.com,5.0,yes,,
C2_b2,school2@domain.com,5.0,yes,,
C3_b2,school2@domain.com,5.0,yes,,
C4_b2,school2@domain.com,5.0,yes,,
C5_b2,school2@domain.com,5.0,partial,,
C6_b2,school2@domain.com,3.0,partial,,
C7_b2,school2@domain.com,4.0,yes,,
C8_b2,school2@domain.com,3.0,yes,,
C1_b3,school2@domain.com,5.0,yes,,
C2_b3,school2@domain.com,5.0,yes,,
C3_b3,school2@domain.com,4.0,partial,,
C4_b3,school2@domain.com,5.0,yes,,
C5_b3,school2@domain.com,5.0,yes,,
C6_b3,school2@domain.com,5.0,yes,,
C7_b3,school2@domain.com,4.0,yes,,
C1_b2,alice,5.0,yes,,
C1_b3,alice,5.0,yes,,
C2_b85,alice,,yes,,Hard
C8_b71,alice,,yes,,Soft
C8_b23,alice,,yes,,Soft
C1_b13,alice,,yes,,Hard
C1_b5,alice,5.0,yes,,Hard
C1_b6,alice,5.0,yes,,Hard
C2_b7,alice,5.0,yes,,Hard
C8_b8,alice,5.0,yes,,Hard
C9_b9,alice,3.0,partial,,Hard
C6_b10,alice,4.0,yes,,Hard
C1_b11,alice,4.0,yes,,Hard
C1_b12,alice,5.0,yes,,Hard
C1_b14,alice,5.0,yes,,Hard
C9_b15,alice,5.0,yes,,Hard
C1_b16,alice,4.0,yes,,Hard
C9_b17,alice,5.0,yes,,Hard
C2_b77,default,4.0,yes,,Hard
C3_b139,default,5.0,yes,,Hard
C5_b153,default,4.0,yes,,Hard
C1_b61,default,5.0,yes,,Hard
C2_b157,default,5.0,yes,,Soft
C1_b166,default,5.0,yes,,Hard
C2_b86,default,5.0,yes,,Hard
C8_b143,default,5.0,yes,,Both
C5_b115,default,5.0,yes,,Both
C4_b32,default,5.0,yes,,Soft
C2_b124,default,5.0,yes,,Hard
C1_b110,default,5.0,yes,,Hard
C2_b42,default,5.0,yes,,Hard
C4_b91,default,4.0,yes,,Both
C2_b147,default,3.0,partial,,Hard
C2_b16,default,5.0,yes,,Soft
C7_b137,default,,yes,,Both
C3_b354,reviewer1,5.0,yes,,Hard
C3_b697,reviewer1,5.0,yes,,Both
C5_b489,reviewer1,5.0,yes,,Soft
C5_b390,reviewer1,5.0,yes,,Soft
C3_b32,reviewer1,5.0,yes,,Soft
C9_b446,reviewer1,5.0,yes,,Hard
C4_b200,reviewer1,5.0,yes,,Hard
C1_b429,reviewer1,5.0,yes,,Hard
C3_b108,reviewer1,5.0,yes,,Hard
C7_b722,reviewer1,3.0,partial,,Hard
C4_b558,reviewer1,5.0,yes,,Hard
C8_b681,reviewer1,5.0,yes,,Hard
C6_b160,reviewer1,5.0,yes,,Both
C4_b479,reviewer1,5.0,yes,,Soft
C1_b427,reviewer1,5.0,yes,,Hard
C5_b1044,reviewer1,5.0,yes,,Hard
C2_b623,reviewer1,5.0,yes,,Soft
C5_b487,reviewer1,5.0,yes,,Both
C5_b903,reviewer1,5.0,yes,,Hard
C2_b656,reviewer1,5.0,yes,,Both
C1_b246,reviewer1,5.0,yes,,Hard
C9_b471,reviewer1,5.0,yes,,Soft
C2_b262,reviewer1,5.0,yes,,Both
C3_b574,reviewer1,5.0,yes,,Hard
C4_b740,reviewer1,5.0,yes,,Hard
C4_b866,reviewer1,5.0,yes,,Hard
C3_b1002,reviewer1,,,,Hard
C4_b841,reviewer1,5.0,yes,,Hard
C3_b576,reviewer1,5.0,yes,,Hard
C4_b60,reviewer1,5,yes,,Soft
C9_b292,reviewer1,5.0,yes,,Soft
C4_b71,reviewer1,5.0,yes,,Hard
