job_id,date_posted,knowledge,confidence_score,confidence_tier,source
in-caa00c16552bee6c,11/21/2025,infrastructure security,0.844,High,BERT+LLM
in-caa00c16552bee6c,11/21/2025,observability,0.845,High,BERT+LLM
in-caa00c16552bee6c,11/21/2025,release engineering,0.848,High,BERT+LLM
in-caa00c16552bee6c,11/21/2025,developer tooling,0.847,High,BERT+LLM
in-caa00c16552bee6c,11/21/2025,Incident Management,0.708,Medium High,BERT+LLM
in-caa00c16552bee6c,11/21/2025,TypeScript,0.838,High,BERT+LLM
in-caa00c16552bee6c,11/21/2025,NestJS,0.847,High,BERT+LLM
in-caa00c16552bee6c,11/21/2025,microservices,0.847,High,BERT+LLM
in-caa00c16552bee6c,11/21/2025,micro-frontends,0.75,Medium High,LLM
in-caa00c16552bee6c,11/21/2025,React,0.843,High,BERT+LLM
in-caa00c16552bee6c,11/21/2025,InsurTech,0.75,Medium High,LLM
in-caa00c16552bee6c,11/21/2025,commercial insurance,0.75,Medium High,LLM
in-caa00c16552bee6c,11/21/2025,production systems,0.75,Medium High,LLM
in-caa00c16552bee6c,11/21/2025,operational requirements,0.75,Medium High,LLM
in-caa00c16552bee6c,11/21/2025,tech stack,0.75,Medium High,LLM
in-caa00c16552bee6c,11/21/2025,hackathons,0.75,Medium High,LLM
in-caa00c16552bee6c,11/21/2025,career growth tracks,0.75,Medium High,LLM
in-caa00c16552bee6c,11/21/2025,AI scribe,0.75,Medium High,LLM
in-caa00c16552bee6c,11/21/2025,micro,0.518,Medium Low,BERT (standalone)
in-c4fe0f71375ca081,11/28/2025,Higher Level Stewardship (HLS) scheme,0.75,Medium High,LLM
in-c4fe0f71375ca081,11/28/2025,heathlands,0.75,Medium High,LLM
in-c4fe0f71375ca081,11/28/2025,grasslands,0.75,Medium High,LLM
in-c4fe0f71375ca081,11/28/2025,woodlands,0.75,Medium High,LLM
in-c4fe0f71375ca081,11/28/2025,wetlands,0.75,Medium High,LLM
in-c4fe0f71375ca081,11/28/2025,sustainable management,0.75,Medium High,LLM
in-c4fe0f71375ca081,11/28/2025,Special Areas of Conservation,0.75,Medium High,LLM
in-c4fe0f71375ca081,11/28/2025,Special Protection Areas,0.75,Medium High,LLM
in-c4fe0f71375ca081,11/28/2025,Ramsar sites,0.75,Medium High,LLM
in-c4fe0f71375ca081,11/28/2025,Civil Service Pension,0.75,Medium High,LLM
in-c4fe0f71375ca081,11/28/2025,Success Profiles,0.75,Medium High,LLM
in-c9632511751e0991,12/1/2025,Multiplex IT Delivery Framework,0.842,High,BERT+LLM
in-c9632511751e0991,12/1/2025,digital technology,0.75,Medium High,LLM
in-c9632511751e0991,12/1/2025,IT infrastructure,0.75,Medium High,LLM
in-c9632511751e0991,12/1/2025,End User Experience,0.75,Medium High,LLM
in-c9632511751e0991,12/1/2025,program framework,0.75,Medium High,LLM
in-c9632511751e0991,12/1/2025,governance standards,0.75,Medium High,LLM
in-15e1d951cdf21d76,11/21/2025,database administration,0.75,Medium High,LLM
in-15e1d951cdf21d76,11/21/2025,database standards,0.75,Medium High,LLM
in-15e1d951cdf21d76,11/21/2025,data model review,0.813,High,BERT+LLM
in-15e1d951cdf21d76,11/21/2025,change control board,0.75,Medium High,LLM
in-15e1d951cdf21d76,11/21/2025,development environments,0.75,Medium High,LLM
in-15e1d951cdf21d76,11/21/2025,test environments,0.75,Medium High,LLM
in-15e1d951cdf21d76,11/21/2025,production environments,0.75,Medium High,LLM
in-15e1d951cdf21d76,11/21/2025,database objects,0.75,Medium High,LLM
in-15e1d951cdf21d76,11/21/2025,database security controls,0.75,Medium High,LLM
in-15e1d951cdf21d76,11/21/2025,audit standards,0.75,Medium High,LLM
in-15e1d951cdf21d76,11/21/2025,system architecture,0.75,Medium High,LLM
in-15e1d951cdf21d76,11/21/2025,costs and benefit analysis,0.75,Medium High,LLM
in-15e1d951cdf21d76,11/21/2025,Backup and Recovery SLAs,0.75,Medium High,LLM
in-15e1d951cdf21d76,11/21/2025,change control,0.382,Very Low,BERT (standalone)
in-15e1d951cdf21d76,11/21/2025,Recovery SLAs,0.454,Low,BERT (standalone)
