job_id,date_posted,knowledge,confidence_score,confidence_tier,source,job_date,job_year,job_month
in-7a53a83e6a14155a,,OLAS utility token,0.75,Medium High,GPT,2025-11-12,2025,2025-11
in-7a53a83e6a14155a,,AI Agent economies,0.75,Medium High,GPT,2025-11-12,2025,2025-11
in-7a53a83e6a14155a,,Olas,0.75,Medium High,GPT,2025-11-12,2025,2025-11
in-7a53a83e6a14155a,,Olas DAO,0.75,Medium High,GPT,2025-11-12,2025,2025-11
in-d40868138acb23e2,,data governance,0.85,High,BERT+GPT,2025-12-01,2025,2025-12
in-d40868138acb23e2,,data quality principles,0.85,High,BERT+GPT,2025-12-01,2025,2025-12
in-d40868138acb23e2,,health data legislation,0.808,High,BERT+GPT,2025-12-01,2025,2025-12
in-d40868138acb23e2,,policies,0.75,Medium High,GPT,2025-12-01,2025,2025-12
in-d40868138acb23e2,,standards,0.75,Medium High,GPT,2025-12-01,2025,2025-12
in-3934f8406260f51c,,3D CAD,0.75,Medium High,GPT,2025-10-22,2025,2025-10
in-3934f8406260f51c,,Naval Surface Warfare Center,0.75,Medium High,GPT,2025-10-22,2025,2025-10
in-3934f8406260f51c,,Integrated Topside Design,0.75,Medium High,GPT,2025-10-22,2025,2025-10
in-4c9c64939618991b,,DP-203 Azure Data Engineer,0.75,Medium High,GPT,2025-12-01,2025,2025-12
in-4c9c64939618991b,,Azure Fundamentals,0.75,Medium High,GPT,2025-12-01,2025,2025-12
in-4c9c64939618991b,,Databricks,0.75,Medium High,GPT,2025-12-01,2025,2025-12
in-2bd1002c386f19b0,,software development,0.835,High,BERT+GPT,2025-11-21,2025,2025-11
in-b0c6518776bf5dcc,,Blazor,0.799,Medium High,BERT+GPT,2025-11-26,2025,2025-11
in-b0c6518776bf5dcc,,Xamarin,0.848,High,BERT+GPT,2025-11-26,2025,2025-11
in-b0c6518776bf5dcc,,Payment platforms and devices,0.825,High,BERT+GPT,2025-11-26,2025,2025-11
in-b0c6518776bf5dcc,,compliance frameworks,0.846,High,BERT+GPT,2025-11-26,2025,2025-11
in-b0c6518776bf5dcc,,SOCII,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-b0c6518776bf5dcc,,PCI,0.843,High,BERT+GPT,2025-11-26,2025,2025-11
in-dde2bf4470adcb09,,product management,0.849,High,BERT+GPT,2025-11-07,2025,2025-11
in-dde2bf4470adcb09,,security,0.84,High,BERT+GPT,2025-11-07,2025,2025-11
in-dde2bf4470adcb09,,privacy,0.826,High,BERT+GPT,2025-11-07,2025,2025-11
in-dde2bf4470adcb09,,network security products,0.75,Medium High,GPT,2025-11-07,2025,2025-11
in-dde2bf4470adcb09,,web security products,0.75,Medium High,GPT,2025-11-07,2025,2025-11
in-dde2bf4470adcb09,,strategic marketing,0.844,High,BERT+GPT,2025-11-07,2025,2025-11
in-dde2bf4470adcb09,,business operations,0.845,High,BERT+GPT,2025-11-07,2025,2025-11
in-dde2bf4470adcb09,,consulting,0.752,Medium High,BERT+GPT,2025-11-07,2025,2025-11
in-dde2bf4470adcb09,,software development,0.851,High,BERT+GPT,2025-11-07,2025,2025-11
in-dde2bf4470adcb09,,engineering,0.745,Medium High,BERT+GPT,2025-11-07,2025,2025-11
in-dde2bf4470adcb09,,Bachelor's degree,0.556,Medium Low,BERT (standalone),2025-11-07,2025,2025-11
in-dde2bf4470adcb09,,network or web security products.,0.544,Medium Low,BERT (standalone),2025-11-07,2025,2025-11
in-dde2bf4470adcb09,,Master's degree,0.546,Medium Low,BERT (standalone),2025-11-07,2025,2025-11
in-dde2bf4470adcb09,,technology or business,0.444,Low,BERT (standalone),2025-11-07,2025,2025-11
in-dde2bf4470adcb09,,business function,0.53,Medium Low,BERT (standalone),2025-11-07,2025,2025-11
in-c158f088cb67a9fc,,Financial Reporting,0.672,Medium,BERT+GPT,2025-11-26,2025,2025-11
in-96b6586c12deb558,,Excel,0.842,High,BERT+GPT,2025-11-18,2025,2025-11
in-96b6586c12deb558,,SQL,0.846,High,BERT+GPT,2025-11-18,2025,2025-11
in-96b6586c12deb558,,Tableau,0.848,High,BERT+GPT,2025-11-18,2025,2025-11
in-96b6586c12deb558,,Power BI,0.848,High,BERT+GPT,2025-11-18,2025,2025-11
in-96b6586c12deb558,,data analytics tools and software,0.81,High,BERT+GPT,2025-11-18,2025,2025-11
in-4c01dba0d6b32164,,API-first architecture,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-4c01dba0d6b32164,,API,0.467,Low,BERT (standalone),2025-11-26,2025,2025-11
in-4c01dba0d6b32164,,-first,0.284,Very Low,BERT (standalone),2025-11-26,2025,2025-11
in-098bb9430c69c828,,AI,0.75,Medium High,GPT,2025-11-25,2025,2025-11
in-098bb9430c69c828,,data processing,0.75,Medium High,GPT,2025-11-25,2025,2025-11
in-098bb9430c69c828,,reports,0.75,Medium High,GPT,2025-11-25,2025,2025-11
in-098bb9430c69c828,,products,0.75,Medium High,GPT,2025-11-25,2025,2025-11
in-3fd081b5b188030b,,metal packaging production process,0.75,Medium High,GPT,2025-11-25,2025,2025-11
in-83485187cfb1d53d,,Apple Developer Services,0.75,Medium High,GPT,2025-11-08,2025,2025-11
in-83485187cfb1d53d,,tools,0.75,Medium High,GPT,2025-11-08,2025,2025-11
in-83485187cfb1d53d,,platforms,0.75,Medium High,GPT,2025-11-08,2025,2025-11
in-e4a3d2685ae18080,,Python,0.75,Medium High,GPT,2025-10-14,2025,2025-10
in-e4a3d2685ae18080,,Data Lake Management,0.847,High,BERT+GPT,2025-10-14,2025,2025-10
in-e4a3d2685ae18080,,data systems,0.75,Medium High,GPT,2025-10-14,2025,2025-10
in-e4a3d2685ae18080,,databases,0.75,Medium High,GPT,2025-10-14,2025,2025-10
in-52d40753129c9d99,,artificial intelligence,0.75,Medium High,GPT,2025-12-01,2025,2025-12
in-52d40753129c9d99,,AI,0.75,Medium High,GPT,2025-12-01,2025,2025-12
in-de68a04f067e6b0e,,high voltage infrastructure,0.663,Medium,BERT+GPT,2025-11-28,2025,2025-11
in-de68a04f067e6b0e,,grid connections,0.75,Medium High,GPT,2025-11-28,2025,2025-11
in-de68a04f067e6b0e,,design,0.805,High,BERT+GPT,2025-11-28,2025,2025-11
in-de68a04f067e6b0e,,energisation,0.742,Medium High,BERT+GPT,2025-11-28,2025,2025-11
in-18fd48502cd7b53b,,tax transparency,0.7,Medium,BERT+GPT,2025-11-18,2025,2025-11
in-18fd48502cd7b53b,,international tax transparency regulations,0.75,Medium High,GPT,2025-11-18,2025,2025-11
in-18fd48502cd7b53b,,governance frameworks,0.75,Medium High,GPT,2025-11-18,2025,2025-11
in-f8b44078c56ff777,,computer applications,0.846,High,BERT+GPT,2025-10-03,2025,2025-10
in-f8b44078c56ff777,,DCS,0.852,High,BERT+GPT,2025-10-03,2025,2025-10
in-f8b44078c56ff777,,PLC programming,0.847,High,BERT+GPT,2025-10-03,2025,2025-10
in-f8b44078c56ff777,,communication protocols,0.795,Medium High,BERT+GPT,2025-10-03,2025,2025-10
in-d9062b2c1f891460,,Microsoft Office packages,0.826,High,BERT+GPT,2025-12-01,2025,2025-12
in-d9062b2c1f891460,,Excel,0.826,High,BERT+GPT,2025-12-01,2025,2025-12
in-d9062b2c1f891460,,Outlook,0.75,Medium High,GPT,2025-12-01,2025,2025-12
in-d9062b2c1f891460,,Outlook),0.524,Medium Low,BERT (standalone),2025-12-01,2025,2025-12
in-332d3bdd0ecc713c,,Federal Government security clearance,0.75,Medium High,GPT,2025-11-27,2025,2025-11
in-332d3bdd0ecc713c,,Federal,0.316,Very Low,BERT (standalone),2025-11-27,2025,2025-11
in-332d3bdd0ecc713c,,Government,0.347,Very Low,BERT (standalone),2025-11-27,2025,2025-11
in-bfb2ee9cc49d7a5c,,C#,0.75,Medium High,GPT,2025-10-03,2025,2025-10
in-bfb2ee9cc49d7a5c,,Unity,0.835,High,BERT+GPT,2025-10-03,2025,2025-10
in-bfb2ee9cc49d7a5c,,mobile game development,0.841,High,BERT+GPT,2025-10-03,2025,2025-10
in-bfb2ee9cc49d7a5c,,animation,0.832,High,BERT+GPT,2025-10-03,2025,2025-10
in-bfb2ee9cc49d7a5c,,particle systems,0.847,High,BERT+GPT,2025-10-03,2025,2025-10
in-bfb2ee9cc49d7a5c,,shaders,0.842,High,BERT+GPT,2025-10-03,2025,2025-10
in-bfb2ee9cc49d7a5c,,architecture,0.826,High,BERT+GPT,2025-10-03,2025,2025-10
in-bfb2ee9cc49d7a5c,,performance optimization,0.85,High,BERT+GPT,2025-10-03,2025,2025-10
in-bfb2ee9cc49d7a5c,,networking,0.75,Medium High,GPT,2025-10-03,2025,2025-10
in-bfb2ee9cc49d7a5c,,C,0.558,Medium Low,BERT (standalone),2025-10-03,2025,2025-10
in-bfb2ee9cc49d7a5c,,#,0.516,Medium Low,BERT (standalone),2025-10-03,2025,2025-10
in-bfb2ee9cc49d7a5c,,networking),0.397,Very Low,BERT (standalone),2025-10-03,2025,2025-10
in-bfb2ee9cc49d7a5c,,optimization,0.53,Medium Low,BERT (standalone),2025-10-03,2025,2025-10
in-bfb2ee9cc49d7a5c,,performance,0.313,Very Low,BERT (standalone),2025-10-03,2025,2025-10
in-bfb2ee9cc49d7a5c,,English,0.551,Medium Low,BERT (standalone),2025-10-03,2025,2025-10
in-75b843cd3b46852b,,IT Infrastructure,0.851,High,BERT+GPT,2025-12-01,2025,2025-12
in-75b843cd3b46852b,,network implementation,0.847,High,BERT+GPT,2025-12-01,2025,2025-12
in-d3068a23c7c51152,,academic learning,0.81,High,BERT+GPT,2025-10-30,2025,2025-10
in-d3068a23c7c51152,,practical management,0.733,Medium High,BERT+GPT,2025-10-30,2025,2025-10
in-0b38c1e9a060340d,,arte 3D,0.75,Medium High,GPT,2025-11-10,2025,2025-11
in-0b38c1e9a060340d,,videojuegos,0.75,Medium High,GPT,2025-11-10,2025,2025-11
in-b623fdf7e964fd6d,,technologies médias,0.75,Medium High,GPT,2025-12-01,2025,2025-12
in-e486061cca69912c,,15kV through 345kV physical utility substation design,0.825,High,BERT+GPT,2025-11-28,2025,2025-11
in-e486061cca69912c,,IEEE/ANSI standards,0.75,Medium High,GPT,2025-11-28,2025,2025-11
