skill,freq,mean_confidence,best_domain_id,best_future_domain,trend_label,trend_score,similarity,top1_similarity,top2_similarity,mapping_margin,domain_source,future_weight
collaborate with AI,1,0.632,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.69823366,0.69823366,0.50707984,0.19115382,WEF_FutureOfJobs_2023,0.6633219808340073
collaborate with AI specialists,1,0.782,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.65457875,0.65457875,0.4973512,0.15722755,WEF_FutureOfJobs_2023,0.6218498080968856
lead the delivery of AI solutions,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.63780075,0.63780075,0.47953513,0.15826562,WEF_FutureOfJobs_2023,0.6059107154607772
collaborate with AI/ML engineers,1,0.69,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.6296671,0.6296671,0.57559377,0.054073334,WEF_FutureOfJobs_2023,0.5981837481260299
integrate AI and machine learning solutions across various strategic platforms,1,0.708,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.59287924,0.59287924,0.4117541,0.18112513,WEF_FutureOfJobs_2023,0.5928792357444763
redefine human-AI interactions,1,0.603,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.62040937,0.62040937,0.38114205,0.23926732,WEF_FutureOfJobs_2023,0.5893889009952545
ML / AI ambitions,1,0.433,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.583464,0.583464,0.457195,0.12626901,WEF_FutureOfJobs_2023,0.5834640264511108
provide expert guidance on AI/ML technologies,1,1.0,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5824408,0.5824408,0.49382234,0.08861846,WEF_FutureOfJobs_2023,0.5824407935142517
manage AI professionals,1,0.639,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.6126773,0.6126773,0.47388604,0.13879123,WEF_FutureOfJobs_2023,0.5820434123277664
Ensure responsible AI,1,0.615,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.6124815,0.6124815,0.394446,0.21803549,WEF_FutureOfJobs_2023,0.5818574011325836
develop AI/ML solutions,2,0.6855,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.58053076,0.58053076,0.51049,0.07004076,WEF_FutureOfJobs_2023,0.5805307626724243
support the design of Responsible AI program,1,0.667,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.6081861,0.6081861,0.42064127,0.18754485,WEF_FutureOfJobs_2023,0.5777768194675446
mentor AI professionals,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.606778,0.606778,0.45957485,0.14720318,WEF_FutureOfJobs_2023,0.5764391243457794
develop AI solutions,3,0.6796666666666668,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.6054373,0.6054373,0.5281066,0.07733071,WEF_FutureOfJobs_2023,0.5751654148101807
develop AI tools,1,0.664,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.6035237,0.6035237,0.5285428,0.074980855,WEF_FutureOfJobs_2023,0.5733474880456925
implement AI solutions,2,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.60070086,0.60070086,0.50432223,0.096378624,WEF_FutureOfJobs_2023,0.5706658124923706
