knowledge,freq,mean_confidence,best_domain_id,best_future_domain,trend_label,trend_score,similarity,top1_similarity,top2_similarity,top3_similarity,mapping_margin,top2_domain_id,top3_domain_id,domain_source,future_weight
ML/AI Engineering,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.6002268,0.6002268,0.4714655,0.33544677,0.12876132,WEF07,MCK01,WEF_FutureOfJobs_2025,0.6002268195152283
AI tools,13,0.7769230769230769,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5906415,0.5906415,0.56453735,0.35799873,0.026104152,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5906414985656738
AI/ML tools,2,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.58799005,0.58799005,0.47766122,0.37577322,0.11032882,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5879900455474854
Cloud & Infrastructure,2,0.6685000000000001,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.6882169,0.6882169,0.41640088,0.36607382,0.27181605,ONET02,ONET06,WEF_FutureOfJobs_2025,0.5849843859672547
AI libraries,1,0.842,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5721861,0.5721861,0.54497147,0.34752515,0.027214646,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5721861124038696
AI software platform,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5695216,0.5695216,0.5188757,0.3368885,0.050645888,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5695216059684753
AI and,2,0.487,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5994695,0.5994695,0.5789578,0.34738004,0.020511687,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5694960087537765
Data & AI Platforms,1,0.485,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5682031,0.5682031,0.43625587,0.43614992,0.13194722,WEF02,WEF07,WEF_FutureOfJobs_2025,0.5682030916213989
AI technologies,2,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5661769,0.5661769,0.5579949,0.35153112,0.008181989,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5661768913269043
AI/ML algorithms,1,0.787,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.56177884,0.56177884,0.3968267,0.26368484,0.16495213,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5617788434028625
AI/ML concepts,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.56100774,0.56100774,0.4390384,0.29964548,0.12196934,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5610077381134033
open-source ML/AI projects,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.56019074,0.56019074,0.4493943,0.26746875,0.11079645,WEF07,MCK01,WEF_FutureOfJobs_2025,0.560190737247467
AI/ML systems,1,0.822,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5588408,0.5588408,0.41605964,0.28984872,0.14278117,WEF07,MCK01,WEF_FutureOfJobs_2025,0.558840811252594
AI frameworks,2,0.8465,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.55869716,0.55869716,0.52929264,0.33170244,0.029404521,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5586971640586853
