rank,skill,demand_freq,mean_confidence,skill_type,bloom_level,example_job_ids,demand_norm,trend_score_norm,trend_label,trend_q_value,future_weight,future_domain,mapping_margin,future_norm,coverage_gap,validity_score,priority_score,expert_priority
1,collaborate with team,31,0.6707096774193549,Soft,Unknown,"['in-26690ce23c3fecfb', 'in-5f1f0bf19752b894', 'in-7527e3e343c1c51e', 'in-645a287c1fb3a08c', 'in-f648cb5ad6e6b9bc']",1.0,0.0,Unknown,1.0,0.180839467048645,Advanced Communication & Collaboration,0.01301983,0.3198867784166992,1.0,0.6707096774193549,0.4959660335250098,
2,build AI agents,1,0.663,Hard,Create,['in-c1541ebf5f81158d'],0.03225806451612903,0.0,Unknown,1.0,0.5653233557939529,Human-AI Collaboration,0.11243886,1.0,1.0,0.663,0.3129032258064516,
3,manage cloud infrastructure,1,0.573,Hard,Analyze,['in-1f96df3e597c3f1a'],0.03225806451612903,0.0,Unknown,1.0,0.5024486094713211,Cloud Computing & Infrastructure,0.23937795,0.8887809150670433,1.0,0.573,0.27953750032656455,
4,design,11,0.6553636363636364,Hard,Create,"['in-58f2f55d21dcfe4c', 'in-37f866f002a4bbfb', 'in-b0d3c1aaf3f350b4', 'in-ba495aac0217250a', 'in-b9fcb0438cfe5431']",0.3548387096774194,0.0,Stable,1.0,0.2584370076656341,UX/UI & Digital Design,0.15528098,0.45714900157040095,1.0,0.6553636363636364,0.27908018434208803,
5,collaborate,4,0.416,Hard,Evaluate,"['in-f6f59fcc57e153bf', 'in-e7bb1836cc0fb50d', 'in-8836f9ce89b8bd6a', 'in-6ba3919757702489']",0.12903225806451613,0.0,Unknown,1.0,0.4209187597036361,Human-AI Collaboration,0.03985116,0.7445628336237556,1.0,0.416,0.2749817533129331,
6,maintain cloud infrastructure,1,0.715,Hard,Analyze,['in-0832c9c5678ba569'],0.03225806451612903,0.0,Unknown,1.0,0.4937598943710327,Cloud Computing & Infrastructure,0.24534363,0.8734114543659445,1.0,0.715,0.2749266621162349,
7,analyze data,9,0.7296666666666667,Hard,Analyze,"['in-918af191ba357cba', 'in-9e6f1edc95f67c4f', 'in-6055370b483ace56', 'in-17e9a3e7d724d162', 'in-d9dec1280ddbbc23']",0.2903225806451613,0.0,Stable,1.0,0.2946494847536087,Big Data & Analytics,0.07037553,0.5212052212840141,1.0,0.7296666666666667,0.27249059864326874,
8,identify technology and cybersecurity risks,1,0.828,Hard,Analyze,['in-2843eb4717d3486e'],0.03225806451612903,0.0,Unknown,1.0,0.4884423315525055,Cybersecurity,0.27430573,0.8640052220494695,1.0,0.828,0.27210479242129243,
9,deploy AI agents,1,0.664,Hard,Apply,['in-c1541ebf5f81158d'],0.03225806451612903,0.0,Unknown,1.0,0.4795650601387023,Human-AI Collaboration,0.13007322,0.8483022242468478,1.0,0.664,0.26739389308050593,
10,manage cloud platforms,1,0.702,Hard,Apply,['in-61c79dbda7b78908'],0.03225806451612903,0.0,Unknown,1.0,0.4595941036939621,Cloud Computing & Infrastructure,0.19412285,0.8129756164920832,1.0,0.702,0.25679591075407654,
11,support cloud services,1,0.747,Hard,Evaluate,['in-d6463b3c9c791921'],0.03225806451612903,0.0,Unknown,1.0,0.4547150135040283,Cloud Computing & Infrastructure,0.2422243,0.8043449980328803,1.0,0.747,0.25420672521631565,
12,leverage AI,2,0.562,Hard,Apply,"['in-38d7309793ec03da', 'in-21631aaadb4ac4fd']",0.06451612903225806,0.0,Unknown,1.0,0.4279302775859832,Human-AI Collaboration,0.07421464,0.7569655016021551,1.0,0.562,0.25289610209354974,
13,deliver impactful AI solutions,1,1.0,Hard,Apply,['in-b487c81a3e1668e8'],0.03225806451612903,0.0,Unknown,1.0,0.4501989886164665,Human-AI Collaboration,0.09322405,0.7963566054761648,1.0,1.0,0.25181020744930105,
14,collaborate with engineers,1,0.641,Soft,Unknown,['in-aafc76d049f6d56e'],0.03225806451612903,0.0,Unknown,1.0,0.4434624955058097,Human-AI Collaboration,0.0043735504,0.7844404285809153,1.0,0.641,0.24823535438072622,
15,work autonomously,2,0.7265,Soft,Unknown,"['in-9187a0b4bd58ea70', 'in-ded18f6e46a95424']",0.06451612903225806,0.0,Unknown,1.0,0.3985778242349624,Human-AI Collaboration,0.032918304,0.7050439720028738,1.0,0.7265,0.2373196432137654,
16,analytics,1,0.479,Hard,Apply,['in-38d7309793ec03da'],0.03225806451612903,0.0,Unknown,1.0,0.4211561948060989,Big Data & Analytics,0.092164755,0.7449828323731957,1.0,0.479,0.23639807551841033,
17,collaborate with others,1,0.671,Soft,Unknown,['in-eba139b9e972d191'],0.03225806451612903,0.0,Unknown,1.0,0.4181116327643394,Human-AI Collaboration,0.034447044,0.7395973091844649,1.0,0.671,0.23478241856179108,
18,implement infrastructure as code,1,0.648,Hard,Analyze,['in-acd5dd7e662d348f'],0.03225806451612903,0.0,Unknown,1.0,0.411874896287918,Cloud Computing & Infrastructure,0.11637038,0.7285651513715926,1.0,0.648,0.2314727712179294,
19,collaborative mindset,1,0.478,Hard,Apply,['in-26690ce23c3fecfb'],0.03225806451612903,0.0,Unknown,1.0,0.4030274271965026,Human-AI Collaboration,0.025160939,0.712914870871524,1.0,0.478,0.22677768706790882,
20,collaborate closely with,1,0.521,Hard,Evaluate,['in-3be925c500588477'],0.03225806451612903,0.0,Unknown,1.0,0.4027348205447196,Human-AI Collaboration,0.00089752674,0.7123972792157326,1.0,0.521,0.22662240957117138,
21,security teams,1,0.624,Soft,Unknown,['in-b91dc4f379ed04ae'],0.03225806451612903,0.0,Unknown,1.0,0.4010349869728088,Cybersecurity,0.15892884,0.7093904450658796,1.0,0.624,0.22572035932621548,
22,use Kubernetes,2,0.672,Hard,Apply,"['in-8393796e4e09484b', 'in-00f11d46cb1752d2']",0.06451612903225806,0.0,Unknown,1.0,0.3754377394914627,Cloud Computing & Infrastructure,0.21425684,0.6641114959140322,1.0,0.672,0.22503990038711288,
23,use Terraform,1,0.67,Hard,Apply,['in-00f11d46cb1752d2'],0.03225806451612903,0.0,Unknown,1.0,0.3875872075557708,Cloud Computing & Infrastructure,0.20668676,0.6856026795698801,1.0,0.67,0.21858402967741564,
24,perform data analysis,1,1.0,Hard,Apply,['in-9265b642da6576bc'],0.03225806451612903,0.0,Unknown,1.0,0.3840483427047729,Big Data & Analytics,0.023048282,0.6793427845651393,1.0,1.0,0.2167060611759934,
25,manage infrastructure,1,0.579,Hard,Analyze,['in-748801e8b898abcc'],0.03225806451612903,0.0,Unknown,1.0,0.3832135915756225,Cloud Computing & Infrastructure,0.067510575,0.6778661940075493,1.0,0.579,0.2162630840087164,
26,security,1,0.547,Hard,Apply,['in-1b25dd823a4e1d2d'],0.03225806451612903,0.0,Unknown,1.0,0.3823535352945328,Cybersecurity,0.16635954,0.6763448411883618,1.0,0.547,0.21580667816296015,
27,Design,6,0.6585,Hard,Create,"['in-b91dc4f379ed04ae', 'in-2c6e663f01600447', 'in-16b8ccda0edc7185', 'in-59ebc721a66a2f28', 'in-9c49e06eacd23204']",0.1935483870967742,0.0,Stable,1.0,0.2584370076656341,UX/UI & Digital Design,0.15528098,0.45714900157040095,1.0,0.6585,0.21456405530982997,
28,apply security best practices,2,0.751,Hard,Apply,"['in-1b25dd823a4e1d2d', 'in-5f61e121db68b7f3']",0.06451612903225806,0.0,Unknown,1.0,0.3534575879573822,Cybersecurity,0.18241458,0.6252308246861275,1.0,0.751,0.21337569901874145,
29,secure cloud resources,1,1.0,Hard,Apply,['in-2d0ccdc10653d678'],0.03225806451612903,0.0,Unknown,1.0,0.3718608647584915,Cloud Computing & Infrastructure,0.12756884,0.6577843652616151,1.0,1.0,0.21023853538493614,
30,development,6,0.4678333333333333,Hard,Create,"['in-6fd5254d3529565c', 'in-4c9bcbd62d588bfe', 'in-9e6f1edc95f67c4f', 'in-a1ba39a8d3378e04', 'in-59ebc721a66a2f28']",0.1935483870967742,0.0,Stable,1.0,0.2464741572737694,Software Development & Engineering,0.011274964,0.43598792575554485,1.0,0.4678333333333333,0.20821573256537312,
31,design data pipelines,1,0.764,Hard,Create,['in-7199f8b61f253ce3'],0.03225806451612903,0.0,Unknown,1.0,0.3668981909751892,Big Data & Analytics,0.11651668,0.649005895855672,1.0,0.764,0.20760499456315323,
32,ensure security,2,0.674,Hard,Analyze,"['in-719126fcbad76647', 'in-a0aedc13475d7800']",0.06451612903225806,0.0,Unknown,1.0,0.3397198766469955,Cybersecurity,0.21019736,0.6009301989122406,1.0,0.674,0.20608551128657543,
33,learning,2,0.4105,Hard,Apply,"['in-54bb86dbe83d6a4a', 'in-d8abeee2189a7dff']",0.06451612903225806,0.0,Stable,1.0,0.3373695015907287,AI & Machine Learning,0.10147777,0.5967726224877431,1.0,0.4105,0.20483823835922615,
34,develop data strategy,1,0.671,Hard,Create,['in-28f0e576f6545e94'],0.03225806451612903,0.0,Unknown,1.0,0.3604251354932785,Big Data & Analytics,0.040803045,0.6375557135563403,1.0,0.671,0.20416993987335372,
35,implement data pipelines,1,0.975,Hard,Apply,['in-7199f8b61f253ce3'],0.03225806451612903,0.0,Unknown,1.0,0.3582795292139053,Big Data & Analytics,0.10481048,0.6337603524459545,1.0,0.975,0.20303133154023797,
36,build data pipelines,1,0.67,Hard,Create,['in-c894ad9107630b64'],0.03225806451612903,0.0,Unknown,1.0,0.356384414434433,Big Data & Analytics,0.09527746,0.6304080855352574,1.0,0.67,0.20202565146702883,
37,integrate security into cloud-based applications,1,1.0,Hard,Create,['in-2d0ccdc10653d678'],0.03225806451612903,0.0,Unknown,1.0,0.3540985405445099,Cloud Computing & Infrastructure,0.14578864,0.6263646051686754,1.0,1.0,0.20081260735705425,
38,maintain data pipelines,2,0.837,Hard,Analyze,"['in-7199f8b61f253ce3', 'in-c894ad9107630b64']",0.06451612903225806,0.0,Unknown,1.0,0.3273567974567413,Big Data & Analytics,0.060466766,0.5790611587186134,1.0,0.837,0.19952479922848726,
39,collaborate with cross-functional teams,7,0.8162857142857144,Soft,Unknown,"['in-58f2f55d21dcfe4c', 'in-1c2a6bc274b4f240', 'in-58b417dea9af2769', 'in-1392cc8743b10f5c', 'in-9badefa332145df1']",0.22580645161290322,0.0,Unknown,1.0,0.2031806707382202,Advanced Communication & Collaboration,0.091873825,0.3594061144933039,1.0,0.8162857142857144,0.19814441499315247,
