skill,total_freq,n_months,slope,p_value,r_squared,durbin_watson,q_value,trend_label
Assist,11,4,0.0,1.0,0.0,,1.0,Stable
Build,32,5,2.1,0.5308381778929423,0.14262613195342821,2.8006,1.0,Stable
Collaborate,16,4,0.0,1.0,0.0,,1.0,Stable
Create,20,4,0.0,1.0,0.0,,1.0,Stable
Define,24,4,0.0,1.0,0.0,,1.0,Stable
Design,93,7,5.107142857142857,0.1366178907964862,0.3857137467934208,2.3399,1.0,Stable
Develop,54,6,3.2571428571428576,0.26842345950008917,0.2919137466307279,2.7209,1.0,Stable
Establish,10,2,0.0,1.0,0.0,,1.0,Stable
Identify,22,4,0.0,1.0,0.0,,1.0,Stable
Implement,10,3,0.0,1.0,0.0,,1.0,Stable
Lead,23,4,0.0,1.0,0.0,,1.0,Stable
Lead the design,11,4,0.0,1.0,0.0,,1.0,Stable
Maintain,15,6,0.6571428571428571,0.45350466791471356,0.14674063800277393,3.0075,1.0,Stable
Manage,10,3,0.0,1.0,0.0,,1.0,Stable
Mentor,12,5,0.5094339622641509,0.4472981633483743,0.20227524972253055,2.9079,1.0,Stable
Monitor,16,3,0.0,1.0,0.0,,1.0,Stable
Prepare,14,3,0.0,1.0,0.0,,1.0,Stable
Problem,13,4,0.0,1.0,0.0,,1.0,Stable
Research,11,4,0.0,1.0,0.0,,1.0,Stable
Self,20,4,0.0,1.0,0.0,,1.0,Stable
Support,10,3,0.0,1.0,0.0,,1.0,Stable
Work,15,4,0.0,1.0,0.0,,1.0,Stable
accuracy,11,4,0.0,1.0,0.0,,1.0,Stable
accurate,15,4,0.0,1.0,0.0,,1.0,Stable
actively,12,4,0.0,1.0,0.0,,1.0,Stable
adaptable,18,4,0.0,1.0,0.0,,1.0,Stable
analysis,25,4,0.0,1.0,0.0,,1.0,Stable
analytical,44,5,2.6194029850746268,0.30097613254094163,0.34128078981484566,3.0872,1.0,Stable
analytical skills,23,4,0.0,1.0,0.0,,1.0,Stable
analyze,13,4,0.0,1.0,0.0,,1.0,Stable
analyze data,24,4,0.0,1.0,0.0,,1.0,Stable
and,13,4,0.0,1.0,0.0,,1.0,Stable
applications,14,4,0.0,1.0,0.0,,1.0,Stable
architect,13,5,0.5810810810810811,0.544003605094025,0.1343359488520779,2.744,1.0,Stable
architecting,10,2,0.0,1.0,0.0,,1.0,Stable
assist,12,5,0.39534883720930236,0.480764752679943,0.1768665850673195,1.9759,1.0,Stable
attention to detail,28,5,2.5,0.47074114145482077,0.1842570754716982,2.9527,1.0,Stable
attention to detail.,10,3,0.0,1.0,0.0,,1.0,Stable
automation,11,4,0.0,1.0,0.0,,1.0,Stable
build,61,7,3.25,0.18539962360582946,0.3202738242574258,2.7018,1.0,Stable
building,65,6,4.657142857142857,0.15741434051860587,0.42993068852989563,3.0964,1.0,Stable
can,11,2,0.0,1.0,0.0,,1.0,Stable
coach,12,6,0.6285714285714286,0.11939340407967461,0.49387755102040815,2.7465,1.0,Stable
coaching,15,3,0.0,1.0,0.0,,1.0,Stable
coding,14,4,0.0,1.0,0.0,,1.0,Stable
collaborate,20,4,0.0,1.0,0.0,,1.0,Stable
collaboration,19,5,1.0,0.5199519584772877,0.14970059880239522,2.7113,1.0,Stable
collaborative,21,5,1.6,0.3232063942223129,0.31683168316831695,3.0007,1.0,Stable
communicate,14,5,0.4,0.680108739090796,0.06451612903225806,2.519,1.0,Stable
communicator,17,4,0.0,1.0,0.0,,1.0,Stable
compliance,12,4,0.0,1.0,0.0,,1.0,Stable
configure,15,4,0.0,1.0,0.0,,1.0,Stable
consistency,13,4,0.0,1.0,0.0,,1.0,Stable
contribute,11,3,0.0,1.0,0.0,,1.0,Stable
coordination,10,3,0.0,1.0,0.0,,1.0,Stable
create,20,5,0.608108108108108,0.6747580219900349,0.06674357284113379,2.9478,1.0,Stable
