skill,total_freq,n_months,slope,p_value,r_squared,q_value,trend_label,run_id
-driven,12,6,0.5142857142857143,0.079083703151177,0.5785714285714286,1.0,Stable,results_run2
-motivated,10,2,0.0,1.0,0.0,1.0,Stable,results_run2
-on,29,6,1.6285714285714283,0.3966398576430444,0.1835766079668517,1.0,Stable,results_run2
-oriented,21,4,0.9285714285714286,0.5981409659721288,0.1614906832298136,1.0,Stable,results_run2
-solving skills,15,2,0.0,1.0,0.0,1.0,Stable,results_run2
Build,14,4,1.0857142857142856,0.5102377008848563,0.2398671096345514,1.0,Stable,results_run2
Design,50,5,2.6415094339622645,0.3825888517560753,0.2577082374597331,1.0,Stable,results_run2
Develop,42,6,2.5714285714285707,0.3253020732063646,0.2388323750552851,1.0,Stable,results_run2
Identify,14,3,0.0,1.0,0.0,1.0,Stable,results_run2
Implement,11,3,2.285714285714286,0.4543710516570098,0.5714285714285715,1.0,Stable,results_run2
Monitor,11,3,1.5,0.5934802716263395,0.3552631578947368,1.0,Stable,results_run2
analysis,19,6,0.8857142857142857,0.103102596962529,0.5254955570745046,1.0,Stable,results_run2
analytical,30,3,0.5,0.9717452899548696,0.0019685039370078,1.0,Stable,results_run2
analytical skills,10,2,0.0,1.0,0.0,1.0,Stable,results_run2
analyze data,87,6,3.971830985915494,0.2844689991429287,0.2759949086498292,1.0,Stable,results_run2
and,14,3,-0.5,0.9156767836780562,0.0174418604651162,1.0,Stable,results_run2
automate processes,10,3,-0.5,0.7877043849903433,0.1071428571428571,1.0,Stable,results_run2
build,21,4,1.7,0.5821216008269052,0.1746223564954682,1.0,Stable,results_run2
building,43,6,2.3857142857142857,0.2390595642835176,0.3232570269487106,1.0,Stable,results_run2
coaching,13,3,0.6935483870967741,0.7014527768909279,0.2042642509942554,1.0,Stable,results_run2
collaborative,12,2,0.0,1.0,0.0,1.0,Stable,results_run2
collect data,11,3,0.5645161290322581,0.6817687343961351,0.2297449362340584,1.0,Stable,results_run2
conduct research,13,4,0.4736842105263157,0.6253656753673225,0.1403508771929824,1.0,Stable,results_run2
create,15,6,0.5658362989323843,0.2691667027681744,0.2911584839166637,1.0,Stable,results_run2
creating,15,5,0.746268656716418,0.3287468585327437,0.3109452736318407,1.0,Stable,results_run2
creative,24,5,1.0675675675675675,0.457473056381368,0.1943268152945572,1.0,Stable,results_run2
curious,12,3,0.6428571428571429,0.8789622816763233,0.0357142857142857,1.0,Stable,results_run2
customer,10,5,0.4054054054054054,0.5651391898535747,0.1216216216216216,1.0,Stable,results_run2
data,11,3,0.7857142857142857,0.7946390653543796,0.1004983388704318,1.0,Stable,results_run2
define,10,4,0.2608695652173913,0.3744567578287757,0.3913043478260869,1.0,Stable,results_run2
design,69,6,4.25,0.2150196670481293,0.3513372698853768,1.0,Stable,results_run2
design solutions,13,4,0.6923076923076923,0.5470891863421616,0.2051282051282051,1.0,Stable,results_run2
design systems,12,4,0.3246753246753247,0.3925880865626718,0.3689492325855962,1.0,Stable,results_run2
designing,56,6,1.4709677419354836,0.349147045430814,0.2191075643475328,1.0,Stable,results_run2
detail,17,3,-0.5,0.94212534330161,0.0082417582417582,1.0,Stable,results_run2
develop,44,7,2.357142857142857,0.1634934148718449,0.3477011494252874,1.0,Stable,results_run2
