job_id,model,skill_count,hard_skill_count,soft_skill_count,knowledge_count,avg_confidence,bloom_remember,bloom_understand,bloom_apply,bloom_analyze,bloom_evaluate,bloom_create,bloom_na,coverage_pct,confidence_vh,confidence_h,confidence_mh,confidence_m,confidence_ml,confidence_l,confidence_vl
in-1ff77799c8c16660,JobBERT,2,2,0,0,0.8040910390363807,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0
in-1ff77799c8c16660,LLM,3,0,3,0,0.7785326957083987,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0
in-1ff77799c8c16660,Hybrid,3,0,3,0,0.7288820418808714,0,0,0,0,0,0,3,0.0,0,1,1,1,0,0,0
in-8b20bbf16019e5c1,LLM,8,0,8,2,0.6049692000000001,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0
in-8b20bbf16019e5c1,Hybrid,8,0,8,2,0.6049692000000001,0,0,0,0,0,0,8,0.04393892037241083,0,0,0,8,0,0,0
in-08bda50c77b08f46,LLM,3,0,3,3,0.6355065600000002,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0
in-08bda50c77b08f46,Hybrid,3,0,3,3,0.6355065600000002,0,0,0,0,0,0,3,0.0,0,0,0,3,0,0,0
in-e60f7f8e30553e08,LLM,3,3,0,2,0.67772611584,0,0,1,1,0,1,0,0,0,0,2,1,0,0,0
in-e60f7f8e30553e08,Hybrid,3,3,0,2,0.67772611584,0,0,1,1,0,1,0,0.041491323743337284,0,0,2,1,0,0,0
in-f8982109357c56e0,LLM,1,0,1,3,0.6491520000000001,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
in-f8982109357c56e0,Hybrid,1,0,1,3,0.6491520000000001,0,0,0,0,0,0,1,0.14459678018988525,0,0,0,1,0,0,0
in-ea2cd0b0c6f52f4f,LLM,3,3,0,4,0.6720611569920002,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0
in-ea2cd0b0c6f52f4f,Hybrid,3,3,0,4,0.6720611569920002,0,0,2,0,0,1,0,0.017583628704673365,0,0,0,3,0,0,0
in-26af18a0c573f667,JobBERT,4,3,1,0,0.777826223152319,0,0,2,1,0,0,1,0,1,1,0,2,0,0,0
in-26af18a0c573f667,LLM,2,0,2,0,0.7782541679882096,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0
in-26af18a0c573f667,Hybrid,5,3,2,0,0.666861529540171,0,0,2,1,0,0,2,0.009365042475254557,1,0,0,2,2,0,0
in-aff3b59d34df3979,LLM,5,4,1,0,0.6795677583360001,0,0,2,0,0,2,1,0,0,0,2,3,0,0,0
in-aff3b59d34df3979,Hybrid,5,4,1,0,0.6795677583360001,0,0,2,0,0,2,1,0.0985961878608448,0,0,2,3,0,0,0
in-083ac975933f3cb9,JobBERT,2,2,0,0,0.5697355758098915,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
in-083ac975933f3cb9,LLM,3,0,3,1,0.6415344000000001,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0
in-083ac975933f3cb9,Hybrid,4,1,3,1,0.5747721601780499,0,0,1,0,0,0,3,0.08038837013831496,0,0,0,2,1,1,0
in-9f46d4765e1e5db4,LLM,1,0,1,0,0.6392160000000002,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
in-9f46d4765e1e5db4,Hybrid,1,0,1,0,0.6392160000000002,0,0,0,0,0,0,1,0.0,0,0,0,1,0,0,0
in-879b2fe47e1fbc66,JobBERT,3,3,0,0,0.8210076003057064,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0
in-879b2fe47e1fbc66,LLM,4,1,3,4,0.73542822644,0,0,0,0,1,0,3,0,1,0,0,3,0,0,0
in-879b2fe47e1fbc66,Hybrid,6,3,3,4,0.6966531734556161,0,0,1,1,1,0,3,0.16034545872992678,1,0,0,4,1,0,0
in-66b97dc6ae697ac9,JobBERT,3,3,0,0,0.727806092712603,0,0,2,1,0,0,0,0,0,1,0,2,0,0,0
in-66b97dc6ae697ac9,LLM,3,3,0,1,0.7928074309742948,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0
in-66b97dc6ae697ac9,Hybrid,5,5,0,1,0.6954499565097303,0,0,2,3,0,0,0,0.052219801453792285,1,0,2,0,2,0,0
in-5986e2e416ec3ef2,JobBERT,3,3,0,0,0.7293993584417189,0,0,2,0,0,1,0,0,0,1,0,2,0,0,0
in-5986e2e416ec3ef2,LLM,3,3,0,0,0.7008167159456008,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0
in-5986e2e416ec3ef2,Hybrid,5,5,0,0,0.665046637501676,0,0,2,0,0,3,0,0.0312793121188907,1,0,0,2,2,0,0
in-76bdc299da84b00b,LLM,1,0,1,0,0.6471648000000002,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
in-76bdc299da84b00b,Hybrid,1,0,1,0,0.6471648000000002,0,0,0,0,0,0,1,0.0,0,0,0,1,0,0,0
in-dcd8dd1044f2926f,JobBERT,4,3,1,1,0.6769300810499799,0,0,2,0,0,1,1,0,0,0,3,0,0,1,0
in-dcd8dd1044f2926f,LLM,7,3,4,6,0.6665803508940364,0,0,1,0,0,2,4,0,0,0,1,6,0,0,0
in-dcd8dd1044f2926f,Hybrid,10,5,5,6,0.6361939695857993,0,0,2,0,0,3,5,0.042862172503220414,0,1,0,8,0,0,1
in-04d821a61bf4f3f8,LLM,4,4,0,2,0.6302229926400001,0,0,1,0,1,2,0,0,0,0,0,2,2,0,0
in-04d821a61bf4f3f8,Hybrid,4,4,0,2,0.6302229926400001,0,0,1,0,1,2,0,0.06363151109436647,0,0,0,2,2,0,0
in-6434f75ccfa896cd,JobBERT,4,4,0,0,0.7591786097056635,0,0,2,1,0,1,0,0,0,2,1,0,1,0,0
in-6434f75ccfa896cd,LLM,7,2,5,4,0.7267595145006681,0,0,0,0,1,1,5,0,0,2,1,4,0,0,0
in-6434f75ccfa896cd,Hybrid,9,4,5,4,0.6995084215344689,0,0,1,1,1,1,5,0.09921049193332071,1,0,2,5,0,1,0
in-59f89f855608fde0,JobBERT,6,6,0,0,0.8343631927969205,0,1,3,0,0,2,0,0,2,2,0,2,0,0,0
in-59f89f855608fde0,LLM,6,4,2,16,0.8158700562017424,0,0,1,0,1,2,2,0,1,2,1,2,0,0,0
in-59f89f855608fde0,Hybrid,9,7,2,16,0.7552021568682138,0,0,3,0,1,3,2,0.20161221598116352,3,0,2,2,2,0,0
in-7f1b7715acb11a2e,LLM,3,3,0,4,0.6709086950400001,0,0,2,0,0,1,0,0,0,0,2,0,1,0,0
in-7f1b7715acb11a2e,Hybrid,3,3,0,4,0.6709086950400001,0,0,2,0,0,1,0,0.1194980395467658,0,0,2,0,1,0,0
in-2ea46d88545e7e84,JobBERT,11,11,0,0,0.7912857981596283,0,1,6,2,2,0,0,0,2,4,0,5,0,0,0
in-2ea46d88545e7e84,LLM,12,11,1,3,0.7838100125942673,0,0,7,1,3,0,1,0,4,0,6,2,0,0,0
in-2ea46d88545e7e84,Hybrid,17,16,1,3,0.7508318950217039,0,1,8,2,5,0,1,0.05361936497883448,5,0,6,2,4,0,0
in-3f1f20262049095a,JobBERT,2,2,0,0,0.7405880232121523,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
in-3f1f20262049095a,LLM,4,2,2,1,0.7558201964331518,0,0,2,0,0,0,2,0,0,2,0,2,0,0,0
in-3f1f20262049095a,Hybrid,4,2,2,1,0.7576863718912582,0,0,2,0,0,0,2,0.09388203537250685,1,0,1,2,0,0,0
in-bf0e9f6211607d23,JobBERT,6,6,0,0,0.8895940996101107,0,0,4,1,0,1,0,0,4,0,2,0,0,0,0
in-bf0e9f6211607d23,LLM,6,2,4,3,0.9363112708534915,0,0,1,0,0,1,4,0,5,0,1,0,0,0,0
in-bf0e9f6211607d23,Hybrid,6,2,4,3,0.9028621562345829,0,0,1,0,0,1,4,0.16802073817659918,5,0,0,1,0,0,0
in-ff31808feab0524e,JobBERT,4,4,0,0,0.8729603398521153,0,0,1,0,0,3,0,0,2,1,0,1,0,0,0
in-ff31808feab0524e,LLM,5,1,4,0,0.7704833505575726,0,0,0,0,0,1,4,0,0,2,1,2,0,0,0
in-ff31808feab0524e,Hybrid,6,2,4,0,0.7739174709011079,0,0,0,0,0,2,4,0.016467684899986346,1,1,2,2,0,0,0
in-50790458f1cb7392,JobBERT,5,4,1,0,0.7069403416858812,0,0,4,0,0,0,1,0,1,0,1,2,1,0,0
in-50790458f1cb7392,LLM,3,0,3,0,0.8178939816353931,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0
in-50790458f1cb7392,Hybrid,6,3,3,0,0.644114564592653,0,0,3,0,0,0,3,0.0,1,0,1,1,0,3,0
in-f0b8e867898d9fc7,JobBERT,1,1,0,2,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
in-f0b8e867898d9fc7,LLM,3,0,3,2,0.753348337777778,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0
in-f0b8e867898d9fc7,Hybrid,3,0,3,2,0.7591232341333334,0,0,0,0,0,0,3,0.055256259094072155,1,0,0,2,0,0,0
in-6a11f6623b90c10e,JobBERT,11,8,3,0,0.7324063621335835,0,1,7,0,0,0,3,0,1,4,1,3,2,0,0
in-6a11f6623b90c10e,LLM,9,0,9,0,0.7394585223144454,0,0,0,0,0,0,9,0,0,3,0,6,0,0,0
in-6a11f6623b90c10e,Hybrid,17,6,11,0,0.6485645685761867,0,1,5,0,0,0,11,0.010613473738099805,1,1,1,9,0,5,0
in-819016745fbf8e52,JobBERT,5,5,0,0,0.6820980576208356,0,0,4,0,0,1,0,0,0,0,2,3,0,0,0
in-819016745fbf8e52,LLM,11,8,3,4,0.6927816887351532,0,0,0,6,0,2,3,0,0,1,0,10,0,0,0
in-819016745fbf8e52,Hybrid,15,12,3,4,0.6555438840219505,0,0,3,6,0,3,3,0.08036482629607596,1,0,0,11,0,3,0
in-b0e3d6930bef9118,LLM,2,0,2,5,0.6605280000000001,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
in-b0e3d6930bef9118,Hybrid,2,0,2,5,0.6605280000000001,0,0,0,0,0,0,2,0.07043345350968211,0,0,0,2,0,0,0
in-68c8bc8b4022b6bd,LLM,22,19,3,22,0.6539610308072729,0,0,18,0,0,1,3,0,0,0,4,11,7,0,0
in-68c8bc8b4022b6bd,Hybrid,22,19,3,36,0.6539610308072729,0,0,18,0,0,1,3,0.27859308169570846,0,0,4,11,7,0,0
in-b99d92a34ea0a07c,LLM,3,0,3,0,0.6392160000000001,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0
in-b99d92a34ea0a07c,Hybrid,3,0,3,0,0.6392160000000001,0,0,0,0,0,0,3,0.0,0,0,0,3,0,0,0
in-b59719e8c96312ce,LLM,1,1,0,1,0.6674388105600002,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
in-b59719e8c96312ce,Hybrid,1,1,0,1,0.6674388105600002,0,0,1,0,0,0,0,0.0,0,0,0,1,0,0,0
in-9068e588b7dc4f2d,LLM,1,1,0,5,0.5944070246400002,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
in-9068e588b7dc4f2d,Hybrid,1,1,0,5,0.5944070246400002,1,0,0,0,0,0,0,0.11295924500415201,0,0,0,0,1,0,0
in-a8f3619ace5efe56,JobBERT,1,1,0,0,0.38538473102188103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
in-a8f3619ace5efe56,LLM,1,0,1,0,0.6359040000000001,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
in-a8f3619ace5efe56,Hybrid,2,1,1,0,0.4721058924087525,0,0,1,0,0,0,1,0.0,0,0,0,1,0,0,1
in-277cf9b06c74153d,JobBERT,6,6,0,0,0.7783599137728813,0,0,5,0,1,0,0,0,1,2,0,3,0,0,0
in-277cf9b06c74153d,LLM,5,0,5,0,0.8267777391039519,0,0,0,0,0,0,5,0,1,2,2,0,0,0,0
in-277cf9b06c74153d,Hybrid,7,2,5,0,0.7069391480366273,0,0,2,0,0,0,5,0.0,1,2,1,1,2,0,0
in-f60c7c41c622d9ed,JobBERT,4,3,1,0,0.8642902387526985,0,1,2,0,0,0,1,0,2,1,0,1,0,0,0
in-f60c7c41c622d9ed,LLM,4,0,4,0,0.8995928346615714,0,0,0,0,0,0,4,0,3,0,1,0,0,0,0
in-f60c7c41c622d9ed,Hybrid,4,0,4,0,0.8497199506819887,0,0,0,0,0,0,4,0.0,2,1,0,1,0,0,0
in-ea5fe0c67dbb09a7,JobBERT,3,3,0,19,0.7325369325440397,0,0,1,0,0,2,0,0,0,1,0,2,0,0,0
in-ea5fe0c67dbb09a7,LLM,8,5,3,22,0.7248407674895737,0,0,1,0,0,4,3,0,1,0,4,3,0,0,0
in-ea5fe0c67dbb09a7,Hybrid,10,7,3,30,0.6910146737323819,0,0,2,0,0,5,3,0.4021524418640069,1,0,4,3,2,0,0
in-5bd95884fcfdbfe2,JobBERT,4,4,0,3,0.7187552995589295,0,0,3,0,1,0,0,0,0,1,0,3,0,0,0
in-5bd95884fcfdbfe2,LLM,9,9,0,4,0.7683815196329515,0,0,7,0,2,0,0,0,3,0,3,3,0,0,0
in-5bd95884fcfdbfe2,Hybrid,12,12,0,4,0.7138327907335441,0,0,9,0,3,0,0,0.19775340159994592,3,0,3,3,3,0,0
in-fc0463e146e0287e,LLM,3,0,3,0,0.6325920000000002,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0
in-fc0463e146e0287e,Hybrid,3,0,3,0,0.6325920000000002,0,0,0,0,0,0,3,0.0,0,0,0,3,0,0,0
in-202d174576a6328b,JobBERT,2,2,0,0,0.5004904605288371,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
in-202d174576a6328b,LLM,2,0,2,1,0.6078758400000001,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
in-202d174576a6328b,Hybrid,4,2,2,1,0.5041341042115349,0,0,2,0,0,0,2,0.05466207391337346,0,0,0,2,0,1,1
in-070ac45a5adefcb1,LLM,1,0,1,1,0.6398784000000001,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
in-070ac45a5adefcb1,Hybrid,1,0,1,1,0.6398784000000001,0,0,0,0,0,0,1,0.0,0,0,0,1,0,0,0
in-f1d38688733ca9cc,JobBERT,5,3,2,0,0.7149563184163357,0,0,3,0,0,0,2,0,0,2,0,3,0,0,0
in-f1d38688733ca9cc,LLM,3,0,3,0,0.7397994840411561,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0
in-f1d38688733ca9cc,Hybrid,6,2,4,0,0.6542224385741068,0,0,2,0,0,0,4,0.008428322137643196,0,1,1,2,0,2,0
in-8cb2b3de05fe17bb,JobBERT,4,4,0,1,0.7718573363884916,0,0,1,2,1,0,0,0,1,0,2,1,0,0,0
in-8cb2b3de05fe17bb,LLM,16,6,10,6,0.6468779684023043,0,0,2,0,0,4,10,0,0,0,5,10,1,0,0
in-8cb2b3de05fe17bb,Hybrid,19,9,10,7,0.6362960495714156,0,0,3,1,1,4,10,0.09672589815848666,0,1,4,11,3,0,0
in-7558c06efa202e1d,LLM,4,0,4,0,0.6139584,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0
in-7558c06efa202e1d,Hybrid,4,0,4,0,0.6139584,0,0,0,0,0,0,4,0.0,0,0,0,4,0,0,0
in-3d91d1f91a2e35ff,LLM,3,0,3,2,0.6357936000000001,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0
in-3d91d1f91a2e35ff,Hybrid,3,0,3,2,0.6357936000000001,0,0,0,0,0,0,3,0.018714158158553276,0,0,0,3,0,0,0
in-2f43fa6cbbb72894,LLM,3,0,3,3,0.6332544000000001,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0
in-2f43fa6cbbb72894,Hybrid,3,0,3,3,0.6332544000000001,0,0,0,0,0,0,3,0.01828317704953646,0,0,0,3,0,0,0
in-5b8b8b6b495946f5,LLM,2,0,2,1,0.6444504000000001,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
in-5b8b8b6b495946f5,Hybrid,2,0,2,1,0.6444504000000001,0,0,0,0,0,0,2,0.0,0,0,0,2,0,0,0
in-1e8d401875ab7ace,LLM,2,2,0,6,0.6807455654400001,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
in-1e8d401875ab7ace,Hybrid,2,2,0,7,0.6807455654400001,0,0,0,0,0,2,0,0.15744255684942798,0,0,0,2,0,0,0
in-1298c0a075adfe4e,LLM,1,0,1,2,0.6352416000000001,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
in-1298c0a075adfe4e,Hybrid,1,0,1,2,0.6352416000000001,0,0,0,0,0,0,1,0.0,0,0,0,1,0,0,0
in-8335c5296046dc27,JobBERT,1,1,0,6,0.5847922315947448,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
in-8335c5296046dc27,LLM,4,4,0,2,0.6494691902400003,0,1,0,0,1,2,0,0,0,0,0,3,1,0,0
in-8335c5296046dc27,Hybrid,5,5,0,7,0.6131421092471594,0,1,0,0,1,3,0,0.21126169605542708,0,0,0,3,1,1,0
in-f9055be6f9ab983b,LLM,5,0,5,0,0.6194764800000001,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0
in-f9055be6f9ab983b,Hybrid,5,0,5,0,0.6194764800000001,0,0,0,0,0,0,5,0.0,0,0,0,5,0,0,0
in-792c7c65733a1995,JobBERT,1,1,0,0,0.40226094350446157,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
