job_id,date_posted,total_components,covered_components,coverage_percentage,skill_coverage_pct,knowledge_coverage_pct,avg_skill_confidence,avg_knowledge_confidence,missing_components_count
in-1ff77799c8c16660,,19,1,0.021632591674202367,0.0,0.021632591674202367,0.788809987640438,0.75,18
in-8b20bbf16019e5c1,,19,6,0.1253800109813088,0.0,0.1253800109813088,0.6088896000000001,0.75,13
in-c6260e808dfcf870,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-08bda50c77b08f46,,19,0,0.0,0.0,0.0,0.6160216201920001,0.75,19
in-9c56a08563d056f0,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-63f669715089b1d1,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-e60f7f8e30553e08,,19,2,0.041491323743337284,0.023975625511188457,0.017515698232148824,0.7118048102400001,0.75,17
in-f8982109357c56e0,,19,5,0.14459678018988525,0.0,0.14459678018988525,0.0,0.8110748536061929,14
in-ea2cd0b0c6f52f4f,,19,1,0.017583626822421428,0.0,0.017583626822421428,0.6712207303680002,0.75,18
in-26af18a0c573f667,,19,1,0.00937272811151447,0.00937272811151447,0.0,0.6672446701302187,0.0,18
in-6e0bef22111034dc,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-1d2c80ce481cb11f,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-aff3b59d34df3979,,19,5,0.09746395059978269,0.09746395059978269,0.0,0.6993811123200002,0.0,14
in-42b2f9911c525537,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-cd0b808434c4f92d,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-083ac975933f3cb9,,19,5,0.08038837013831496,0.024102189491518974,0.05628618064679599,0.5742243143280198,0.75,14
in-9f46d4765e1e5db4,,19,1,0.019599403833088124,0.0,0.019599403833088124,0.6392160000000002,0.75,18
in-879b2fe47e1fbc66,,19,7,0.16214807823736502,0.12072485722645421,0.07985044090371385,0.6985177067889493,0.75,12
in-b743930ff16064e7,,19,6,0.11867666997407614,0.0,0.11867666997407614,0.0,0.75,13
in-3d878553075cff9f,,19,0,0.0,0.0,0.0,0.0,0.75,19
in-66b97dc6ae697ac9,,19,3,0.052219801453792285,0.03198717506051369,0.03574755191802979,0.6954499565097303,0.75,16
in-3787ada24baceced,,19,5,0.14280390727278794,0.0,0.14280390727278794,0.0,0.8419718135027536,14
in-35bde22582c02ec9,,19,0,0.0,0.0,0.0,0.0,0.75,19
in-5986e2e416ec3ef2,,19,4,0.07231490614748452,0.0312793121188907,0.06418975466176084,0.665046637501676,0.75,15
in-76bdc299da84b00b,,19,0,0.0,0.0,0.0,0.6471648000000002,0.0,19
in-dcd8dd1044f2926f,,19,2,0.042862172503220414,0.0,0.042862172503220414,0.6505558506254947,0.7418663497765859,17
in-c07071dff55c7f74,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-04d821a61bf4f3f8,,19,3,0.06363151109436647,0.04258698900918074,0.06070959693507145,0.6302229926400001,0.75,16
in-6434f75ccfa896cd,,19,5,0.09921048816881683,0.009291368194783392,0.09921048816881683,0.6980920953017621,0.75,14
in-59f89f855608fde0,,19,7,0.22002277448437746,0.14062793830956313,0.0998561551696376,0.7647478330443934,0.75,12
in-7f1b7715acb11a2e,,19,6,0.1194980395467658,0.0164868143842603,0.1194980395467658,0.66845689344,0.75,13
in-4253237d507304c7,,19,1,0.01770852176766647,0.0,0.01770852176766647,0.0,0.75,18
in-2ea46d88545e7e84,,19,2,0.05337928349820424,0.05337928349820424,0.0,0.7427546859385833,0.75,17
in-81cfe369e4ad49b5,,19,0,0.0,0.0,0.0,0.0,0.75,19
in-3f1f20262049095a,,19,4,0.09388203537250685,0.05236501421840432,0.07309597228702747,0.7576863718912582,0.75,15
in-bf0e9f6211607d23,,19,8,0.18111342733381317,0.05647173155832937,0.16744289837385481,0.9102749637623376,0.75,11
in-ff31808feab0524e,,19,1,0.016458036195350235,0.016458036195350235,0.0,0.7729845210926717,0.75,18
in-4db732b0a6c93338,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-38cb96df699cfbe8,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-02596bd1a3533b48,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-50790458f1cb7392,,19,0,0.0,0.0,0.0,0.6413320801764545,0.0,19
in-3eb6babc74e5b1cc,,19,0,0.0,0.0,0.0,0.6279552,0.75,19
in-f0b8e867898d9fc7,,19,2,0.055256259094072155,0.0,0.055256259094072155,0.7591232341333334,0.845982161948671,17
in-5b082ff425ffc95e,,19,0,0.0,0.0,0.0,0.0,0.75,19
in-2adf3d78f57c1387,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-6a11f6623b90c10e,,19,1,0.010416822982319556,0.010416822982319556,0.0,0.6275810390432642,0.0,18
in-819016745fbf8e52,,19,5,0.10695125074810705,0.05889852748170108,0.05878910328212538,0.7185224448141987,0.75,14
in-b0e3d6930bef9118,,19,3,0.07043345350968211,0.0,0.07043345350968211,0.6605280000000001,0.75,16
in-68c8bc8b4022b6bd,,19,13,0.24925697805964067,0.09507530884463355,0.24925697805964067,0.6668635690164706,0.6737181383036188,6
in-b99d92a34ea0a07c,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-b59719e8c96312ce,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-9068e588b7dc4f2d,,19,5,0.11295924500415201,0.0,0.11295924500415201,0.0,0.75,14
in-a8f3619ace5efe56,,19,0,0.0,0.0,0.0,0.4721058924087525,0.0,19
in-277cf9b06c74153d,,19,0,0.0,0.0,0.0,0.7069391480366273,0.0,19
in-f60c7c41c622d9ed,,19,3,0.06434397697448731,0.0,0.06434397697448731,0.7203903347925192,0.75,16
in-6d6cab98b74e874f,,19,0,0.0,0.0,0.0,0.0,0.75,19
in-ea5fe0c67dbb09a7,,19,16,0.4078928656068976,0.161715394225914,0.34583230599125003,0.6901116879431,0.7067133357805256,3
in-5bd95884fcfdbfe2,,19,10,0.19142531783623395,0.16305319854187283,0.13479169700892762,0.7138327907335441,0.770978981521911,9
in-c27782a9a21e0b3c,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-fc0463e146e0287e,,19,0,0.0,0.0,0.0,0.6349104000000001,0.0,19
in-202d174576a6328b,,19,3,0.05466207391337346,0.0,0.05466207391337346,0.4003923684230697,0.75,16
in-070ac45a5adefcb1,,19,0,0.0,0.0,0.0,0.6398784000000001,0.75,19
in-f1d38688733ca9cc,,19,1,0.008428322137643196,0.008428322137643196,0.0,0.6155903415397534,0.0,18
in-8cb2b3de05fe17bb,,19,5,0.09492635405641124,0.0721788166825179,0.06204231036336799,0.6168828083683775,0.717400006226131,14
in-7558c06efa202e1d,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-3d91d1f91a2e35ff,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-2f43fa6cbbb72894,,19,1,0.01828317704953646,0.0,0.01828317704953646,0.6292800000000002,0.75,18
in-024241def5374d0c,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-5b8b8b6b495946f5,,19,0,0.0,0.0,0.0,0.6444504000000001,0.75,19
in-1e8d401875ab7ace,,19,7,0.19848786315638337,0.054351022153478354,0.19848786315638337,0.6721411976228574,0.8317696453418666,12
in-1298c0a075adfe4e,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-63a74d7b6f2db43c,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-8335c5296046dc27,,19,10,0.21126169225704547,0.09975941258461278,0.1471461816919455,0.6303192275831593,0.6047474213361664,9
in-59102c073373b270,,19,0,0.0,0.0,0.0,0.0,0.75,19
in-77953b80cd21723e,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-f9055be6f9ab983b,,19,0,0.0,0.0,0.0,0.6087628800000001,0.0,19
in-88f21b93380f7581,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-792c7c65733a1995,,19,3,0.08295384433391748,0.05092551560178369,0.07512603935442475,0.5918216162864283,0.75,16
in-2650e0f960a33a06,,19,3,0.056147343861429326,0.00625746662557199,0.056147343861429326,0.7585697279549795,0.75,16
in-12365ed7bd9554c7,,19,12,0.2466194154204084,0.05870876182781998,0.22939813952696952,0.5722158300872531,0.75,7
in-1d1c0634c3f84857,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-9816de77297ab668,,19,4,0.11586308626741784,0.07263723633780905,0.0432258499296088,1.0,0.75,15
in-97ca47c5f555e42a,,19,1,0.020917725563049317,0.008722454655898257,0.020917725563049317,0.664293309067566,0.8032805640114014,18
in-3adbfcd2c67f939d,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-b708da2b33f5c59c,,19,5,0.13001134270115902,0.0,0.13001134270115902,0.0,0.7543025583242383,14
in-57793e22513bd508,,19,10,0.26981321623769244,0.0,0.26981321623769244,0.5682232084909092,0.7567704061940976,9
in-50b5841a24fd900e,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-1c5a5a5c1628040b,,19,2,0.06316126294517584,0.03240788986859683,0.06316126294517584,0.6751427212800002,0.8503497883444459,17
in-3e332c91d6fcc338,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-b99d92a34ea0a07c,,19,0,0.0,0.0,0.0,0.0,0.75,19
in-8e8358720b2049a4,,19,2,0.02335661882789139,0.0,0.02335661882789139,0.4884344356673413,0.6047896092243807,17
in-edd6ccf5e0d85d3f,,19,0,0.0,0.0,0.0,0.0,0.0,19
in-a54cf9211ca3232d,,19,5,0.07086653575272632,0.013636769032506652,0.05722976672021968,0.5931989362375928,0.75,14
in-731fc34f48c31ddd,,19,5,0.09432629354925108,0.02539631136388729,0.06892998218536378,0.6368541686400001,0.75,14
in-66e35ec4c60e8c65,,19,5,0.07710800534855813,0.03680265767924347,0.05958407991810849,0.7165785834360395,0.75,14
in-ed7c0956d23b6e08,,19,7,0.16976194435056952,0.0,0.16976194435056952,0.69718869504,0.6814700915813446,12
in-bafe771b70f448ef,,19,0,0.0,0.0,0.0,0.6149622857142857,0.75,19
in-b608315da704076b,,19,11,0.21410128461796116,0.015545718570776018,0.21088754335583632,0.5769546667024906,0.6606353030641662,8
in-82c62095c56a09f5,,19,4,0.09636053389756531,0.0,0.09636053389756531,0.2926349309317553,0.8453798944678209,15
