skill,freq,mean_confidence,best_domain_id,best_future_domain,trend_label,trend_score,similarity,top1_similarity,top2_similarity,top3_similarity,mapping_margin,top2_domain_id,top3_domain_id,domain_source,future_weight
lead the delivery of AI solutions,1,0.885,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5944239,0.5944239,0.48288155,0.3161583,0.111542344,WEF01,MCK01,WEF_FutureOfJobs_2025,0.564702695608139
implement AI/ML models,1,0.639,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.54647124,0.54647124,0.406408,0.26431787,0.14006323,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5464712381362915
leverage AI development tools,1,0.935,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5576431,0.5576431,0.46856648,0.32734737,0.08907664,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5297609597444534
create AI Assisted Product Development,1,0.71,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.552024,0.552024,0.43699744,0.32950285,0.11502656,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5244228065013885
operate AI / ML models,1,0.51,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5225406,0.5225406,0.3938875,0.28857857,0.12865314,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5225406289100647
develop AI-powered solutions,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.54861224,0.54861224,0.497335,0.3196862,0.05127725,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5211816251277923
develop machine learning technologies,1,0.68,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.51841575,0.51841575,0.3168895,0.27804795,0.20152625,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5184157490730286
apply critical thinking,1,0.61,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.6476133,0.6476133,0.14754121,0.1462908,0.50007206,WEF08,MCK05,McKinsey_FutureOfWork_2025,0.5180906295776367
develop enterprise AI software solutions,1,0.981,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5447619,0.5447619,0.46472135,0.32144862,0.080040544,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5175238013267517
design AI/ML models,1,0.72,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.514441,0.514441,0.39558628,0.26221812,0.11885473,WEF07,ESCO02,WEF_FutureOfJobs_2025,0.5144410133361816
