knowledge,freq,mean_confidence,best_domain_id,best_future_domain,trend_label,trend_score,similarity,top1_similarity,top2_similarity,top3_similarity,mapping_margin,top2_domain_id,top3_domain_id,domain_source,future_weight
data & AI technologies,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.6200713,0.6200713,0.5058151,0.4737757,0.1142562,WEF07,WEF02,WEF_FutureOfJobs_2025,0.620071291923523
AI tools,4,0.77525,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.59064156,0.59064156,0.56453735,0.3579988,0.026104212,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5906415581703186
Cloud & Infrastructure,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.6882168,0.6882168,0.41640103,0.3660739,0.27181578,ONET02,ONET06,WEF_FutureOfJobs_2025,0.5849842846393585
AI development tools,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.59224564,0.59224564,0.54927284,0.3916596,0.042972803,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5626333564519882
AI/ML systems,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5588408,0.5588408,0.41605964,0.28984872,0.14278117,WEF07,MCK01,WEF_FutureOfJobs_2025,0.558840811252594
data & AI ecosystem,1,0.834,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5576288,0.5576288,0.48017007,0.4261412,0.07745874,WEF07,WEF02,WEF_FutureOfJobs_2025,0.5576288104057312
AI/ML models,2,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5447856,0.5447856,0.38096583,0.25387433,0.16381979,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5447856187820435
Cloud Infrastructure & Orchestration,1,0.806,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.6378418,0.6378418,0.3155809,0.2920694,0.32226092,ONET02,ONET06,WEF_FutureOfJobs_2025,0.5421655476093292
AI software solutions,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5703032,0.5703032,0.5408391,0.33219868,0.029464126,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5417880415916443
AI workflows,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.53306663,0.53306663,0.5157087,0.4472337,0.017357945,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5330666303634644
AI Infrastructure,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.55827034,0.55827034,0.54580295,0.36350316,0.012467384,WEF01,WEF04,WEF_FutureOfJobs_2025,0.5303568184375763
