rank,demand_freq,mean_confidence,skill,skill_type,bloom_level,example_job_ids,demand_norm,trend_score_norm,trend_label,trend_q_value,future_weight,future_domain,mapping_margin,future_norm,coverage_gap,validity_score,priority_score,expert_priority
1,22,0.6611363636363636,solve problems,Soft,Unknown,"['in-083ac975933f3cb9', 'in-6a11f6623b90c10e', 'in-f1d38688733ca9cc', 'in-bafe771b70f448ef', 'in-4d39d1108694485c']",0.8148148148148148,0.0,Unknown,1.0,0.3705510377883911,Critical Thinking & Problem Solving,0.19935957,0.6561878324121292,1.0,0.6611363636363636,0.5227822756495647,
2,27,0.6574444444444445,design,Hard,Create,"['in-688c9596567360d1', 'in-0b1202bf3556f0ec', 'in-70a2eb5261b8c030', 'in-70fd1b405f4402fc', 'in-0685ca5ef97fdbe6']",1.0,0.0,Stable,1.0,0.2033101588487625,UX/UI & Digital Design,0.053860128,0.3600304380162626,1.0,0.6574444444444445,0.5080091314048788,
3,21,0.6826190476190477,develop,Hard,Create,"['in-208b2e5025df647a', 'in-8ea91331725eff8e', 'in-cf284d58281847c3', 'in-70a2eb5261b8c030', 'in-d107997caf95d4e7']",0.7777777777777778,0.0,Stable,1.0,0.1460183501243591,Advanced Communication & Collaboration,0.04114726,0.2585756208709242,1.0,0.6826190476190477,0.3886837973723884,
4,16,0.6931875000000001,collaborate with team,Soft,Unknown,"['in-66d09a7cc5a289f5', 'in-b57a48a3af3f7f97', 'in-9bf8dd6670c7c8f0', 'in-04f500daaf678e4d', 'in-9b42699be5ed52d0']",0.5925925925925926,0.0,Unknown,1.0,0.179645299911499,Advanced Communication & Collaboration,0.06940389,0.3181236804935659,1.0,0.6931875000000001,0.3324741411851068,
5,1,0.885,lead the delivery of AI solutions,Soft,Unknown,['in-58bfabff667346c3'],0.037037037037037035,0.0,Unknown,1.0,0.564702695608139,Human-AI Collaboration,0.111542344,1.0,1.0,0.885,0.3148148148148148,
6,12,0.5566666666666666,designing,Hard,Create,"['in-ea5fe0c67dbb09a7', 'in-3974672cef9dd264', 'in-9fc9c5f45b5702c5', 'in-de5cb81baa037707', 'in-461835a3a8ec7f39']",0.4444444444444444,0.0,Stable,1.0,0.2407808974385261,UX/UI & Digital Design,0.091237605,0.4263852453886812,1.0,0.5566666666666666,0.30569335139438214,
7,1,0.639,implement AI/ML models,Hard,Create,['in-4b1eb891426139d1'],0.037037037037037035,0.0,Unknown,1.0,0.5464712381362915,AI & Machine Learning,0.14006323,0.9677149452027785,1.0,0.639,0.30512929837564834,
8,1,0.935,leverage AI development tools,Hard,Create,['in-676a872f6f8ac895'],0.037037037037037035,0.0,Unknown,1.0,0.5297609597444534,Human-AI Collaboration,0.08907664,0.9381236602278722,1.0,0.935,0.2962519128831765,
9,1,0.71,create AI Assisted Product Development,Hard,Create,['in-b1f57ab6cf3d2462'],0.037037037037037035,0.0,Unknown,1.0,0.5244228065013885,Human-AI Collaboration,0.11502656,0.9286706271813129,1.0,0.71,0.29341600296920867,
10,1,0.51,operate AI / ML models,Hard,Create,['in-5211c83d2e8587c2'],0.037037037037037035,0.0,Unknown,1.0,0.5225406289100647,AI & Machine Learning,0.12865314,0.9253375855543434,1.0,0.51,0.29241609048111783,
11,1,1.0,develop AI-powered solutions,Hard,Create,['in-f7d4087daa3ce046'],0.037037037037037035,0.0,Unknown,1.0,0.5211816251277923,Human-AI Collaboration,0.05127725,0.9229310027757561,1.0,1.0,0.29169411564754166,
12,1,0.68,develop machine learning technologies,Hard,Create,['in-208b2e5025df647a'],0.037037037037037035,0.0,Unknown,1.0,0.5184157490730286,AI & Machine Learning,0.20152625,0.9180330696221254,1.0,0.68,0.29022473570145246,
13,14,0.6431428571428571,communication skills,Soft,Unknown,"['in-6a11f6623b90c10e', 'in-f1d38688733ca9cc', 'in-99e491f32ff77da0', 'in-5a500be9cb192f09', 'in-c180dba542c64365']",0.5185185185185185,0.0,Unknown,1.0,0.155809211730957,Advanced Communication & Collaboration,0.08781639,0.27591370280809996,1.0,0.6431428571428571,0.2901815182498374,
14,1,0.61,apply critical thinking,Soft,Unknown,['in-e93b7f13f10ee6f3'],0.037037037037037035,0.0,Unknown,1.0,0.5180906295776367,Critical Thinking & Problem Solving,0.50007206,0.9174573339333809,1.0,0.61,0.2900520149948291,
15,1,0.981,develop enterprise AI software solutions,Hard,Create,['in-cf284d58281847c3'],0.037037037037037035,0.0,Unknown,1.0,0.5175238013267517,Human-AI Collaboration,0.080040544,0.9164535699080035,1.0,0.981,0.28975088578721586,
16,1,0.72,design AI/ML models,Hard,Create,['in-4b1eb891426139d1'],0.037037037037037035,0.0,Unknown,1.0,0.5144410133361816,AI & Machine Learning,0.11885473,0.9109944353677476,1.0,0.72,0.2881131454251391,
17,1,0.685,integrate AI to improve engineering craft,Hard,Create,['in-65376c11e70261db'],0.037037037037037035,0.0,Unknown,1.0,0.5121646970510483,Human-AI Collaboration,0.08203143,0.9069634358651121,1.0,0.685,0.28690384557434845,
18,1,0.946,lead development of AI experiences,Soft,Unknown,['in-a50274985ead48d6'],0.037037037037037035,0.0,Unknown,1.0,0.5118304431438446,Human-AI Collaboration,0.12011647,0.9063715245641687,1.0,0.946,0.28672627218406543,
19,1,0.991,conduct AI research,Hard,Remember,['in-2b3451661a07f6bb'],0.037037037037037035,0.0,Unknown,1.0,0.5086443006992339,Human-AI Collaboration,0.07083386,0.9007293654787061,1.0,0.991,0.28503362445842667,
20,1,0.503,architecting AI /,Hard,Create,['in-3e332c91d6fcc338'],0.037037037037037035,0.0,Unknown,1.0,0.5066847562789917,Human-AI Collaboration,0.033361584,0.8972593193190503,1.0,0.503,0.28399261061052994,
21,1,0.598,operate cloud environments,Hard,Evaluate,['in-04d821a61bf4f3f8'],0.037037037037037035,0.0,Unknown,1.0,0.5056643009185791,Cloud Computing & Infrastructure,0.26004168,0.895452252754026,1.0,0.598,0.2834504906410226,
