job_id,date_posted,skill,type,bloom,confidence_score,confidence_tier,source,semantic_density,context_agreement,composite_score,verification_level,threshold_source,is_verified
in-1ff77799c8c16660,,drive assurance initiatives,Soft,,0.842,High,BERT+LLM,0.83,1.33,0.8677999999999999,Verified_HIGH,calibrated,True
in-1ff77799c8c16660,,drive advisory initiatives,Soft,,0.736,Medium High,BERT+LLM,0.86,1.21,0.7938999999999999,Verified_HIGH,calibrated,True
in-8b20bbf16019e5c1,,enable bank operations,Soft,,0.608,Medium,LLM,0.8,0.9,0.6406999999999999,Verified_HIGH,calibrated,True
in-8b20bbf16019e5c1,,empower bank operations,Soft,,0.61,Medium,LLM,0.81,0.9,0.643,Verified_HIGH,calibrated,True
in-08bda50c77b08f46,,apply human resources policies,Hard,Apply,0.673,Medium,LLM,0.8,0.9,0.6667000000000001,Verified_HIGH,calibrated,True
in-08bda50c77b08f46,,pay competitive wages,Hard,Apply,0.566,Medium Low,LLM,0.79,0.9,0.6224000000000001,Verified_HIGH,calibrated,True
in-08bda50c77b08f46,,pay competitive benefits,Hard,Apply,0.57,Medium Low,LLM,0.82,0.9,0.6285,Verified_HIGH,calibrated,True
in-08bda50c77b08f46,,lead effectively,Soft,,0.639,Medium,LLM,0.83,0.9,0.6576,Verified_HIGH,calibrated,True
in-08bda50c77b08f46,,pay close attention,Soft,,0.632,Medium,LLM,0.77,0.9,0.6457999999999999,Verified_HIGH,calibrated,True
in-e60f7f8e30553e08,,build commercial applications,Hard,Create,0.712,Medium High,LLM,0.87,0.9,0.6927999999999999,Verified_HIGH,calibrated,True
in-ea2cd0b0c6f52f4f,,simulate microscopic motion of atoms,Hard,Apply,0.671,Medium,LLM,0.79,0.9,0.6643999999999999,Verified_HIGH,calibrated,True
in-ea2cd0b0c6f52f4f,,simulate macroscopic flow of liquids,Hard,Apply,0.671,Medium,LLM,0.79,0.9,0.6643999999999999,Verified_HIGH,calibrated,True
in-26af18a0c573f667,,"ensure alignment between creative vision, technical execution, and production targets",Soft,,0.646,Medium,LLM,0.83,0.95,0.6753999999999999,Verified_HIGH,calibrated,True
in-26af18a0c573f667,,work closely with cross-disciplined teams,Soft,,1.0,Very High,BERT+LLM,0.8,1.24,0.8995,Verified_HIGH,calibrated,True
in-26af18a0c573f667,,ensure alignment between creative vision,Hard,Analyze,0.666,Medium,BERT (standalone),0.82,0.86,0.6548999999999999,Verified_HIGH,calibrated,True
in-26af18a0c573f667,,technical execution,Hard,Apply,0.512,Medium Low,BERT (standalone),0.87,0.86,0.6083000000000001,Verified_HIGH,calibrated,True
in-26af18a0c573f667,,production targets.,Hard,Apply,0.512,Medium Low,BERT (standalone),0.87,0.86,0.6008,Verified_HIGH,calibrated,True
in-aff3b59d34df3979,,architect code,Hard,Create,0.701,Medium High,LLM,0.8,0.9,0.6779,Verified_HIGH,calibrated,True
in-aff3b59d34df3979,,implement code,Hard,Apply,0.701,Medium High,LLM,0.8,0.9,0.6779,Verified_HIGH,calibrated,True
in-aff3b59d34df3979,,deliver code,Hard,Apply,0.696,Medium,LLM,0.77,0.9,0.6714,Verified_HIGH,calibrated,True
in-083ac975933f3cb9,,drive customer experience strategy,Soft,,0.64,Medium,LLM,0.83,0.9,0.6579999999999999,Verified_HIGH,calibrated,True
in-083ac975933f3cb9,,innovate solutions,Soft,,0.568,Medium Low,BERT+LLM,0.88,0.9,0.6517,Verified_HIGH,calibrated,True
in-083ac975933f3cb9,,solve problems,Soft,,0.635,Medium,LLM,0.8,0.9,0.794,Verified_HIGH,calibrated,True
in-083ac975933f3cb9,,problem -solving.,Hard,Apply,0.453,Low,BERT (standalone),0.84,0.81,0.5577000000000001,Verified_HIGH,calibrated,True
in-9f46d4765e1e5db4,,build reputation,Soft,,0.639,Medium,LLM,0.83,0.9,0.6576,Verified_HIGH,calibrated,True
in-879b2fe47e1fbc66,,optimize clinical workflows,Hard,Evaluate,1.0,Very High,BERT+LLM,0.85,1.23,0.9039999999999999,Verified_HIGH,calibrated,True
in-879b2fe47e1fbc66,,supervise analytics staff,Soft,,0.675,Medium,LLM,0.83,0.95,0.6869999999999998,Verified_HIGH,calibrated,True
in-879b2fe47e1fbc66,,mentor analytics staff,Soft,,0.671,Medium,LLM,0.8,0.95,0.6809,Verified_HIGH,calibrated,True
in-879b2fe47e1fbc66,,evaluate analytics staff,Soft,,0.674,Medium,LLM,0.82,0.95,0.6850999999999999,Verified_HIGH,calibrated,True
in-879b2fe47e1fbc66,,ensure high performance,Hard,Analyze,0.66,Medium,BERT (standalone),0.81,0.85,0.6479999999999999,Verified_HIGH,calibrated,True
in-879b2fe47e1fbc66,,professional growth.,Hard,Apply,0.51,Medium Low,BERT (standalone),0.89,0.85,0.6000000000000001,Verified_HIGH,calibrated,True
in-66b97dc6ae697ac9,,ensure secure access management,Hard,Analyze,0.721,Medium High,LLM,0.81,0.96,0.7054,Verified_HIGH,calibrated,True
in-66b97dc6ae697ac9,,ensure compliant access management,Hard,Analyze,0.725,Medium High,LLM,0.83,0.96,0.7099999999999999,Verified_HIGH,calibrated,True
